Start,6D6D6D,
End,929292,
,,
x,y,Luminance
0.000000E+0,28.199563E-3,22.066772
16.080001E-6,36.876418E-3,22.239702
32.160002E-6,43.383986E-3,22.369398
48.240003E-6,41.214701E-3,22.326164
64.320004E-6,30.368751E-3,22.110004
80.400001E-6,36.876418E-3,22.239702
96.480006E-6,45.553174E-3,22.412630
112.560010E-6,36.876418E-3,22.239702
128.640007E-6,41.214701E-3,22.326164
144.720005E-6,30.368751E-3,22.110004
160.800002E-6,21.691993E-3,21.937077
176.880014E-6,21.691993E-3,21.937077
192.960011E-6,36.876418E-3,22.239702
209.040008E-6,30.368751E-3,22.110004
225.120020E-6,39.045606E-3,22.282934
241.200018E-6,26.030373E-3,22.023540
257.280015E-6,21.691993E-3,21.937077
273.360027E-6,26.030373E-3,22.023540
289.440010E-6,34.707133E-3,22.196468
305.520021E-6,23.861183E-3,21.980309
321.600004E-6,19.522803E-3,21.893845
337.680016E-6,28.199563E-3,22.066772
353.760028E-6,34.707133E-3,22.196468
369.840011E-6,30.368751E-3,22.110004
385.920022E-6,36.876418E-3,22.239702
402.000034E-6,30.368751E-3,22.110004
418.080017E-6,15.184424E-3,21.807381
434.160029E-6,23.861183E-3,21.980309
450.240041E-6,19.522803E-3,21.893845
466.320023E-6,30.368751E-3,22.110004
482.400035E-6,36.876418E-3,22.239702
498.480047E-6,30.368751E-3,22.110004
514.560030E-6,19.522803E-3,21.893845
530.640013E-6,19.522803E-3,21.893845
546.720054E-6,32.538038E-3,22.153238
562.800036E-6,30.368751E-3,22.110004
578.880019E-6,28.199563E-3,22.066772
594.960060E-6,41.214701E-3,22.326164
611.040043E-6,32.538038E-3,22.153238
627.120025E-6,26.030373E-3,22.023540
643.200008E-6,17.353613E-3,21.850613
659.280049E-6,8.676855E-3,21.677685
675.360032E-6,21.691993E-3,21.937077
691.440015E-6,41.214701E-3,22.326164
707.520056E-6,45.553174E-3,22.412630
723.600038E-6,30.368751E-3,22.110004
739.680021E-6,34.707133E-3,22.196468
755.760062E-6,30.368751E-3,22.110004
771.840045E-6,36.876418E-3,22.239702
787.920028E-6,39.045606E-3,22.282934
804.000068E-6,19.522803E-3,21.893845
820.080051E-6,17.353613E-3,21.850613
836.160034E-6,26.030373E-3,22.023540
852.240075E-6,21.691993E-3,21.937077
868.320058E-6,30.368751E-3,22.110004
884.400040E-6,34.707133E-3,22.196468
900.480081E-6,26.030373E-3,22.023540
916.560064E-6,34.707133E-3,22.196468
932.640047E-6,45.553174E-3,22.412630
948.720030E-6,45.553174E-3,22.412630
964.800071E-6,10.845949E-3,21.720915
980.880111E-6,15.184424E-3,21.807381
996.960094E-6,13.015234E-3,21.764149
1.013040E-3,23.861183E-3,21.980309
1.029120E-3,39.045606E-3,22.282934
1.045200E-3,28.199563E-3,22.066772
1.061280E-3,28.199563E-3,22.066772
1.077360E-3,34.707133E-3,22.196468
1.093440E-3,13.015234E-3,21.764149
1.109520E-3,26.030373E-3,22.023540
1.125600E-3,28.199563E-3,22.066772
1.141680E-3,19.522803E-3,21.893845
1.157760E-3,32.538038E-3,22.153238
1.173840E-3,26.030373E-3,22.023540
1.189920E-3,13.015234E-3,21.764149
1.206000E-3,19.522803E-3,21.893845
