Start,6D6D6D,
End,DBDBDB,
,,
x,y,Luminance
0.000000E+0,11.735618E-3,22.240011
16.080001E-6,9.264974E-3,22.067081
32.160002E-6,11.735618E-3,22.240011
48.240003E-6,11.117964E-3,22.196779
64.320004E-6,14.206261E-3,22.412941
80.400001E-6,11.735618E-3,22.240011
96.480006E-6,10.500282E-3,22.153545
112.560010E-6,9.264974E-3,22.067081
128.640007E-6,10.500282E-3,22.153545
144.720005E-6,12.970953E-3,22.326477
160.800002E-6,12.970953E-3,22.326477
176.880014E-6,14.206261E-3,22.412941
192.960011E-6,8.647320E-3,22.023849
209.040008E-6,8.029639E-3,21.980616
225.120020E-6,9.264974E-3,22.067081
241.200018E-6,9.264974E-3,22.067081
257.280015E-6,12.353272E-3,22.283243
273.360027E-6,13.588607E-3,22.369709
289.440010E-6,9.264974E-3,22.067081
305.520021E-6,8.029639E-3,21.980616
321.600004E-6,9.264974E-3,22.067081
337.680016E-6,8.647320E-3,22.023849
353.760028E-6,9.882656E-3,22.110315
369.840011E-6,10.500282E-3,22.153545
385.920022E-6,7.411985E-3,21.937384
402.000034E-6,11.117964E-3,22.196779
418.080017E-6,13.588607E-3,22.369709
434.160029E-6,14.206261E-3,22.412941
450.240041E-6,12.353272E-3,22.283243
466.320023E-6,10.500282E-3,22.153545
482.400035E-6,12.353272E-3,22.283243
498.480047E-6,14.823942E-3,22.456175
514.560030E-6,15.441597E-3,22.499407
530.640013E-6,14.206261E-3,22.412941
546.720054E-6,11.735618E-3,22.240011
562.800036E-6,9.882656E-3,22.110315
578.880019E-6,6.794304E-3,21.894150
594.960060E-6,11.117964E-3,22.196779
611.040043E-6,13.588607E-3,22.369709
627.120025E-6,12.970953E-3,22.326477
643.200008E-6,7.411985E-3,21.937384
659.280049E-6,8.647320E-3,22.023849
675.360032E-6,13.588607E-3,22.369709
691.440015E-6,11.735618E-3,22.240011
707.520056E-6,9.882656E-3,22.110315
723.600038E-6,11.117964E-3,22.196779
739.680021E-6,11.735618E-3,22.240011
755.760062E-6,11.735618E-3,22.240011
771.840045E-6,11.735618E-3,22.240011
787.920028E-6,11.117964E-3,22.196779
804.000068E-6,11.735618E-3,22.240011
820.080051E-6,10.500282E-3,22.153545
836.160034E-6,12.970953E-3,22.326477
852.240075E-6,13.588607E-3,22.369709
868.320058E-6,10.500282E-3,22.153545
884.400040E-6,6.794304E-3,21.894150
900.480081E-6,9.264974E-3,22.067081
916.560064E-6,7.411985E-3,21.937384
932.640047E-6,6.794304E-3,21.894150
948.720030E-6,11.117964E-3,22.196779
964.800071E-6,11.117964E-3,22.196779
980.880111E-6,8.029639E-3,21.980616
996.960094E-6,9.264974E-3,22.067081
1.013040E-3,12.353272E-3,22.283243
1.029120E-3,12.353272E-3,22.283243
1.045200E-3,11.735618E-3,22.240011
1.061280E-3,11.117964E-3,22.196779
1.077360E-3,9.882656E-3,22.110315
1.093440E-3,7.411985E-3,21.937384
1.109520E-3,8.029639E-3,21.980616
1.125600E-3,9.264974E-3,22.067081
1.141680E-3,11.117964E-3,22.196779
1.157760E-3,11.735618E-3,22.240011
1.173840E-3,13.588607E-3,22.369709
