Start,B6B6B6,
End,494949,
,,
x,y,Luminance
0.000000E+0,982.663512E-3,62.360889
16.080001E-6,982.663512E-3,62.360889
32.160002E-6,974.783182E-3,61.928551
48.240003E-6,979.511380E-3,62.187954
64.320004E-6,981.875360E-3,62.317650
80.400001E-6,979.511380E-3,62.187954
96.480006E-6,981.087387E-3,62.274418
112.560010E-6,979.511380E-3,62.187954
128.640007E-6,980.299413E-3,62.231186
144.720005E-6,977.935374E-3,62.101490
160.800002E-6,979.511380E-3,62.187954
176.880014E-6,980.299413E-3,62.231186
192.960011E-6,980.299413E-3,62.231186
209.040008E-6,977.935374E-3,62.101490
225.120020E-6,982.663512E-3,62.360889
241.200018E-6,977.935374E-3,62.101490
257.280015E-6,978.723407E-3,62.144722
273.360027E-6,978.723407E-3,62.144722
289.440010E-6,974.783182E-3,61.928551
305.520021E-6,970.055103E-3,61.669151
321.600004E-6,970.843077E-3,61.712383
337.680016E-6,974.783182E-3,61.928551
353.760028E-6,977.935374E-3,62.101490
369.840011E-6,985.027492E-3,62.490585
385.920022E-6,978.723407E-3,62.144722
402.000034E-6,980.299413E-3,62.231186
418.080017E-6,977.935374E-3,62.101490
434.160029E-6,984.239519E-3,62.447353
450.240041E-6,980.299413E-3,62.231186
466.320023E-6,979.511380E-3,62.187954
482.400035E-6,973.995209E-3,61.885319
498.480047E-6,975.571275E-3,61.971786
514.560030E-6,981.087387E-3,62.274418
530.640013E-6,984.239519E-3,62.447353
546.720054E-6,980.299413E-3,62.231186
562.800036E-6,974.783182E-3,61.928551
578.880019E-6,973.207235E-3,61.842087
594.960060E-6,977.147341E-3,62.058254
611.040043E-6,977.147341E-3,62.058254
627.120025E-6,981.087387E-3,62.274418
643.200008E-6,983.451545E-3,62.404121
659.280049E-6,980.299413E-3,62.231186
675.360032E-6,983.451545E-3,62.404121
691.440015E-6,979.511380E-3,62.187954
707.520056E-6,984.239519E-3,62.447353
723.600038E-6,976.359248E-3,62.015018
739.680021E-6,977.147341E-3,62.058254
755.760062E-6,981.087387E-3,62.274418
771.840045E-6,976.359248E-3,62.015018
787.920028E-6,976.359248E-3,62.015018
804.000068E-6,979.511380E-3,62.187954
820.080051E-6,975.571275E-3,61.971786
836.160034E-6,971.631229E-3,61.755623
852.240075E-6,976.359248E-3,62.015018
