Start,B6B6B6,
End,6D6D6D,
,,
x,y,Luminance
0.000000E+0,950.413227E-3,61.279179
16.080001E-6,946.281075E-3,61.106251
32.160002E-6,950.413227E-3,61.279179
48.240003E-6,958.677709E-3,61.625042
64.320004E-6,954.545438E-3,61.452110
80.400001E-6,960.743785E-3,61.711506
96.480006E-6,959.710717E-3,61.668274
112.560010E-6,954.545438E-3,61.452110
128.640007E-6,950.413227E-3,61.279179
144.720005E-6,947.314084E-3,61.149483
160.800002E-6,948.347151E-3,61.192715
176.880014E-6,948.347151E-3,61.192715
192.960011E-6,958.677709E-3,61.625042
209.040008E-6,953.512430E-3,61.408878
225.120020E-6,948.347151E-3,61.192715
241.200018E-6,947.314084E-3,61.149483
257.280015E-6,948.347151E-3,61.192715
273.360027E-6,945.247889E-3,61.063015
289.440010E-6,949.380159E-3,61.235947
305.520021E-6,941.115737E-3,60.890087
321.600004E-6,951.446235E-3,61.322411
337.680016E-6,948.347151E-3,61.192715
353.760028E-6,944.214880E-3,61.019783
369.840011E-6,951.446235E-3,61.322411
385.920022E-6,948.347151E-3,61.192715
402.000034E-6,952.479362E-3,61.365646
418.080017E-6,952.479362E-3,61.365646
434.160029E-6,947.314084E-3,61.149483
450.240041E-6,949.380159E-3,61.235947
466.320023E-6,949.380159E-3,61.235947
482.400035E-6,947.314084E-3,61.149483
498.480047E-6,950.413227E-3,61.279179
514.560030E-6,948.347151E-3,61.192715
530.640013E-6,948.347151E-3,61.192715
546.720054E-6,947.314084E-3,61.149483
562.800036E-6,950.413227E-3,61.279179
578.880019E-6,947.314084E-3,61.149483
594.960060E-6,951.446235E-3,61.322411
611.040043E-6,949.380159E-3,61.235947
627.120025E-6,951.446235E-3,61.322411
643.200008E-6,948.347151E-3,61.192715
659.280049E-6,944.214880E-3,61.019783
675.360032E-6,948.347151E-3,61.192715
691.440015E-6,950.413227E-3,61.279179
707.520056E-6,947.314084E-3,61.149483
723.600038E-6,940.082729E-3,60.846855
739.680021E-6,952.479362E-3,61.365646
755.760062E-6,950.413227E-3,61.279179
771.840045E-6,949.380159E-3,61.235947
787.920028E-6,948.347151E-3,61.192715
804.000068E-6,948.347151E-3,61.192715
820.080051E-6,954.545438E-3,61.452110
836.160034E-6,947.314084E-3,61.149483
852.240075E-6,949.380159E-3,61.235947
868.320058E-6,949.380159E-3,61.235947
884.400040E-6,950.413227E-3,61.279179
900.480081E-6,952.479362E-3,61.365646
916.560064E-6,955.578506E-3,61.495342
932.640047E-6,955.578506E-3,61.495342
948.720030E-6,955.578506E-3,61.495342
964.800071E-6,949.380159E-3,61.235947
980.880111E-6,952.479362E-3,61.365646
996.960094E-6,952.479362E-3,61.365646
1.013040E-3,956.611514E-3,61.538574
1.029120E-3,960.743785E-3,61.711506
1.045200E-3,958.677709E-3,61.625042
1.061280E-3,960.743785E-3,61.711506
1.077360E-3,965.909064E-3,61.927670
1.093440E-3,960.743785E-3,61.711506
1.109520E-3,957.644582E-3,61.581806
1.125600E-3,960.743785E-3,61.711506
1.141680E-3,961.776793E-3,61.754738
1.157760E-3,965.909064E-3,61.927670
1.173840E-3,960.743785E-3,61.711506
1.189920E-3,963.842869E-3,61.841202
1.206000E-3,971.074343E-3,62.143833
1.222080E-3,969.008207E-3,62.057365
1.238160E-3,966.942132E-3,61.970901
1.254240E-3,965.909064E-3,61.927670
1.270320E-3,970.041215E-3,62.100597
1.286400E-3,964.876056E-3,61.884438
1.302480E-3,961.776793E-3,61.754738
1.318560E-3,961.776793E-3,61.754738
1.334640E-3,959.710717E-3,61.668274
1.350720E-3,967.975140E-3,62.014133
1.366800E-3,960.743785E-3,61.711506
1.382880E-3,967.975140E-3,62.014133
1.398960E-3,976.239741E-3,62.360001
1.415040E-3,976.239741E-3,62.360001
1.431120E-3,972.107410E-3,62.187065
1.447200E-3,971.074343E-3,62.143833
1.463280E-3,974.173665E-3,62.273537
1.479360E-3,967.975140E-3,62.014133
1.495440E-3,971.074343E-3,62.143833
1.511520E-3,975.206673E-3,62.316769
1.527600E-3,979.338825E-3,62.489697
1.543680E-3,973.140538E-3,62.230301
1.559760E-3,970.041215E-3,62.100597
1.575840E-3,973.140538E-3,62.230301
1.591920E-3,971.074343E-3,62.143833
1.608000E-3,971.074343E-3,62.143833
1.624080E-3,975.206673E-3,62.316769
1.640160E-3,975.206673E-3,62.316769
1.656240E-3,977.272749E-3,62.403233
1.672320E-3,971.074343E-3,62.143833
1.688400E-3,981.405020E-3,62.576164
1.704480E-3,980.371952E-3,62.532932
1.720560E-3,979.338825E-3,62.489697
1.736640E-3,971.074343E-3,62.143833
1.752720E-3,975.206673E-3,62.316769
1.768800E-3,973.140538E-3,62.230301
1.784880E-3,970.041215E-3,62.100597
1.800960E-3,973.140538E-3,62.230301
1.817040E-3,980.371952E-3,62.532932
1.833120E-3,973.140538E-3,62.230301
1.849200E-3,970.041215E-3,62.100597
1.865280E-3,976.239741E-3,62.360001
1.881360E-3,973.140538E-3,62.230301
1.897440E-3,979.338825E-3,62.489697
1.913520E-3,979.338825E-3,62.489697
1.929600E-3,974.173665E-3,62.273537
1.945680E-3,975.206673E-3,62.316769
1.961760E-3,978.305817E-3,62.446465
1.977840E-3,981.405020E-3,62.576164
1.993920E-3,976.239741E-3,62.360001
2.010000E-3,982.438087E-3,62.619396
2.026080E-3,981.405020E-3,62.576164
2.042160E-3,982.438087E-3,62.619396
2.058240E-3,980.371952E-3,62.532932
2.074320E-3,977.272749E-3,62.403233
2.090400E-3,975.206673E-3,62.316769
2.106480E-3,976.239741E-3,62.360001
2.122560E-3,980.371952E-3,62.532932
2.138640E-3,980.371952E-3,62.532932
2.154720E-3,976.239741E-3,62.360001
2.170800E-3,974.173665E-3,62.273537
2.186880E-3,976.239741E-3,62.360001
2.202960E-3,975.206673E-3,62.316769
2.219040E-3,977.272749E-3,62.403233
2.235120E-3,981.405020E-3,62.576164
2.251200E-3,983.471096E-3,62.662628
2.267280E-3,981.405020E-3,62.576164
2.283360E-3,980.371952E-3,62.532932
2.299440E-3,977.272749E-3,62.403233
2.315520E-3,974.173665E-3,62.273537
2.331600E-3,982.438087E-3,62.619396
2.347680E-3,981.405020E-3,62.576164
2.363760E-3,980.371952E-3,62.532932
2.379840E-3,974.173665E-3,62.273537
2.395920E-3,982.438087E-3,62.619396
2.412000E-3,980.371952E-3,62.532932
2.428080E-3,983.471096E-3,62.662628
2.444160E-3,981.405020E-3,62.576164
2.460240E-3,981.405020E-3,62.576164
2.476320E-3,981.405020E-3,62.576164
2.492400E-3,988.636374E-3,62.878792
2.508480E-3,985.537171E-3,62.749092
2.524560E-3,980.371952E-3,62.532932
2.540640E-3,976.239741E-3,62.360001
2.556720E-3,979.338825E-3,62.489697
2.572800E-3,978.305817E-3,62.446465
2.588880E-3,983.471096E-3,62.662628
2.604960E-3,976.239741E-3,62.360001
2.621040E-3,985.537171E-3,62.749092
2.637120E-3,977.272749E-3,62.403233
2.653200E-3,976.239741E-3,62.360001
2.669280E-3,976.239741E-3,62.360001
2.685360E-3,979.338825E-3,62.489697
2.701440E-3,985.537171E-3,62.749092
2.717520E-3,983.471096E-3,62.662628
2.733600E-3,980.371952E-3,62.532932
2.749680E-3,987.603366E-3,62.835560
2.765760E-3,982.438087E-3,62.619396
2.781840E-3,982.438087E-3,62.619396
2.797920E-3,983.471096E-3,62.662628
2.814000E-3,972.107410E-3,62.187065
2.830080E-3,984.504163E-3,62.705860
2.846160E-3,988.636374E-3,62.878792
2.862240E-3,982.438087E-3,62.619396
2.878320E-3,980.371952E-3,62.532932
2.894400E-3,978.305817E-3,62.446465
2.910480E-3,985.537171E-3,62.749092
2.926560E-3,986.570299E-3,62.792328
2.942640E-3,991.735518E-3,63.008488
2.958720E-3,985.537171E-3,62.749092
2.974800E-3,977.272749E-3,62.403233
2.990880E-3,983.471096E-3,62.662628
3.006960E-3,988.636374E-3,62.878792
3.023040E-3,992.768645E-3,63.051723
3.039120E-3,982.438087E-3,62.619396
3.055200E-3,980.371952E-3,62.532932
3.071280E-3,977.272749E-3,62.403233
3.087360E-3,978.305817E-3,62.446465
3.103440E-3,982.438087E-3,62.619396
3.119520E-3,983.471096E-3,62.662628
3.135600E-3,987.603366E-3,62.835560
3.151680E-3,986.570299E-3,62.792328
3.167760E-3,979.338825E-3,62.489697
3.183840E-3,977.272749E-3,62.403233
3.199920E-3,982.438087E-3,62.619396
3.216000E-3,986.570299E-3,62.792328
3.232080E-3,986.570299E-3,62.792328
3.248160E-3,988.636374E-3,62.878792
3.264240E-3,983.471096E-3,62.662628
3.280320E-3,981.405020E-3,62.576164
3.296400E-3,979.338825E-3,62.489697
3.312480E-3,986.570299E-3,62.792328
3.328560E-3,984.504163E-3,62.705860
3.344640E-3,978.305817E-3,62.446465
3.360720E-3,983.471096E-3,62.662628
3.376800E-3,987.603366E-3,62.835560
3.392880E-3,988.636374E-3,62.878792
3.408960E-3,988.636374E-3,62.878792
3.425040E-3,983.471096E-3,62.662628
3.441120E-3,979.338825E-3,62.489697
3.457200E-3,986.570299E-3,62.792328
3.473280E-3,985.537171E-3,62.749092
3.489360E-3,977.272749E-3,62.403233
3.505440E-3,975.206673E-3,62.316769
3.521520E-3,982.438087E-3,62.619396
3.537600E-3,982.438087E-3,62.619396
3.553680E-3,982.438087E-3,62.619396
3.569760E-3,987.603366E-3,62.835560
3.585840E-3,985.537171E-3,62.749092
3.601920E-3,985.537171E-3,62.749092
3.618000E-3,983.471096E-3,62.662628
3.634080E-3,984.504163E-3,62.705860
3.650160E-3,980.371952E-3,62.532932
3.666240E-3,984.504163E-3,62.705860
3.682320E-3,978.305817E-3,62.446465
3.698400E-3,980.371952E-3,62.532932
3.714480E-3,980.371952E-3,62.532932
3.730560E-3,981.405020E-3,62.576164
3.746640E-3,978.305817E-3,62.446465
3.762720E-3,985.537171E-3,62.749092
3.778800E-3,984.504163E-3,62.705860
3.794880E-3,985.537171E-3,62.749092
3.810960E-3,983.471096E-3,62.662628
3.827040E-3,984.504163E-3,62.705860
3.843120E-3,984.504163E-3,62.705860
3.859200E-3,981.405020E-3,62.576164
3.875280E-3,979.338825E-3,62.489697
3.891360E-3,980.371952E-3,62.532932
3.907440E-3,982.438087E-3,62.619396
3.923520E-3,985.537171E-3,62.749092
3.939600E-3,983.471096E-3,62.662628
3.955680E-3,980.371952E-3,62.532932
3.971760E-3,982.438087E-3,62.619396
3.987840E-3,983.471096E-3,62.662628
4.003920E-3,986.570299E-3,62.792328
4.020000E-3,988.636374E-3,62.878792
4.036080E-3,982.438087E-3,62.619396
4.052160E-3,983.471096E-3,62.662628
4.068240E-3,983.471096E-3,62.662628
4.084320E-3,981.405020E-3,62.576164
4.100400E-3,982.438087E-3,62.619396
4.116480E-3,981.405020E-3,62.576164
4.132560E-3,978.305817E-3,62.446465
4.148640E-3,975.206673E-3,62.316769
4.164720E-3,973.140538E-3,62.230301
4.180800E-3,976.239741E-3,62.360001
4.196880E-3,985.537171E-3,62.749092
4.212960E-3,982.438087E-3,62.619396
4.229040E-3,975.206673E-3,62.316769
4.245120E-3,977.272749E-3,62.403233
4.261200E-3,981.405020E-3,62.576164
4.277280E-3,981.405020E-3,62.576164
4.293360E-3,984.504163E-3,62.705860
4.309440E-3,981.405020E-3,62.576164
4.325520E-3,982.438087E-3,62.619396
4.341600E-3,985.537171E-3,62.749092
4.357680E-3,984.504163E-3,62.705860
4.373760E-3,978.305817E-3,62.446465
4.389840E-3,979.338825E-3,62.489697
4.405920E-3,975.206673E-3,62.316769
4.422000E-3,978.305817E-3,62.446465
4.438080E-3,979.338825E-3,62.489697
4.454160E-3,981.405020E-3,62.576164
4.470240E-3,983.471096E-3,62.662628
4.486320E-3,978.305817E-3,62.446465
4.502400E-3,983.471096E-3,62.662628
4.518480E-3,982.438087E-3,62.619396
4.534560E-3,984.504163E-3,62.705860
4.550640E-3,974.173665E-3,62.273537
4.566720E-3,977.272749E-3,62.403233
4.582800E-3,980.371952E-3,62.532932
4.598880E-3,974.173665E-3,62.273537
4.614960E-3,976.239741E-3,62.360001
4.631040E-3,980.371952E-3,62.532932
4.647120E-3,980.371952E-3,62.532932
4.663200E-3,979.338825E-3,62.489697
4.679280E-3,981.405020E-3,62.576164
4.695360E-3,978.305817E-3,62.446465
4.711440E-3,980.371952E-3,62.532932
4.727520E-3,975.206673E-3,62.316769
4.743600E-3,975.206673E-3,62.316769
4.759680E-3,983.471096E-3,62.662628
4.775760E-3,980.371952E-3,62.532932
4.791840E-3,980.371952E-3,62.532932
4.807920E-3,981.405020E-3,62.576164
4.824000E-3,975.206673E-3,62.316769
4.840080E-3,975.206673E-3,62.316769
4.856160E-3,981.405020E-3,62.576164
4.872240E-3,980.371952E-3,62.532932
4.888320E-3,979.338825E-3,62.489697
4.904400E-3,976.239741E-3,62.360001
4.920480E-3,978.305817E-3,62.446465
4.936560E-3,978.305817E-3,62.446465
4.952640E-3,981.405020E-3,62.576164
4.968720E-3,973.140538E-3,62.230301
4.984800E-3,984.504163E-3,62.705860
5.000880E-3,985.537171E-3,62.749092
5.016960E-3,984.504163E-3,62.705860
5.033040E-3,974.173665E-3,62.273537
5.049120E-3,972.107410E-3,62.187065
5.065200E-3,979.338825E-3,62.489697
5.081280E-3,976.239741E-3,62.360001
5.097360E-3,973.140538E-3,62.230301
5.113440E-3,975.206673E-3,62.316769
5.129520E-3,979.338825E-3,62.489697
5.145600E-3,976.239741E-3,62.360001
5.161680E-3,978.305817E-3,62.446465
5.177760E-3,974.173665E-3,62.273537
5.193840E-3,978.305817E-3,62.446465
5.209920E-3,979.338825E-3,62.489697
5.226000E-3,979.338825E-3,62.489697
5.242080E-3,978.305817E-3,62.446465
5.258160E-3,978.305817E-3,62.446465
5.274240E-3,976.239741E-3,62.360001
5.290320E-3,980.371952E-3,62.532932
5.306400E-3,976.239741E-3,62.360001
5.322480E-3,973.140538E-3,62.230301
5.338560E-3,977.272749E-3,62.403233
5.354641E-3,974.173665E-3,62.273537
5.370720E-3,971.074343E-3,62.143833
5.386801E-3,978.305817E-3,62.446465
5.402880E-3,979.338825E-3,62.489697
5.418960E-3,978.305817E-3,62.446465
5.435040E-3,978.305817E-3,62.446465
5.451120E-3,979.338825E-3,62.489697
5.467200E-3,980.371952E-3,62.532932
5.483280E-3,976.239741E-3,62.360001
5.499360E-3,973.140538E-3,62.230301
5.515440E-3,973.140538E-3,62.230301
5.531520E-3,973.140538E-3,62.230301
5.547600E-3,979.338825E-3,62.489697
5.563681E-3,976.239741E-3,62.360001
5.579760E-3,973.140538E-3,62.230301
5.595841E-3,976.239741E-3,62.360001
5.611920E-3,975.206673E-3,62.316769
5.628000E-3,972.107410E-3,62.187065
5.644080E-3,972.107410E-3,62.187065
5.660160E-3,975.206673E-3,62.316769
5.676240E-3,973.140538E-3,62.230301
5.692320E-3,974.173665E-3,62.273537
5.708400E-3,976.239741E-3,62.360001
5.724480E-3,977.272749E-3,62.403233
5.740560E-3,975.206673E-3,62.316769
5.756640E-3,971.074343E-3,62.143833
5.772721E-3,974.173665E-3,62.273537
5.788800E-3,974.173665E-3,62.273537
5.804881E-3,970.041215E-3,62.100597
5.820960E-3,964.876056E-3,61.884438
5.837040E-3,967.975140E-3,62.014133
5.853120E-3,975.206673E-3,62.316769
5.869200E-3,978.305817E-3,62.446465
5.885280E-3,980.371952E-3,62.532932
5.901360E-3,976.239741E-3,62.360001
5.917440E-3,973.140538E-3,62.230301
5.933520E-3,978.305817E-3,62.446465
5.949600E-3,966.942132E-3,61.970901
5.965680E-3,966.942132E-3,61.970901
5.981761E-3,971.074343E-3,62.143833
5.997840E-3,979.338825E-3,62.489697
6.013921E-3,982.438087E-3,62.619396
6.030000E-3,972.107410E-3,62.187065
6.046080E-3,962.809861E-3,61.797970
6.062160E-3,966.942132E-3,61.970901
6.078240E-3,977.272749E-3,62.403233
6.094320E-3,981.405020E-3,62.576164
6.110400E-3,976.239741E-3,62.360001
6.126480E-3,970.041215E-3,62.100597
6.142560E-3,966.942132E-3,61.970901
6.158640E-3,960.743785E-3,61.711506
6.174720E-3,973.140538E-3,62.230301
6.190801E-3,983.471096E-3,62.662628
6.206880E-3,972.107410E-3,62.187065
6.222961E-3,974.173665E-3,62.273537
6.239040E-3,971.074343E-3,62.143833
6.255121E-3,964.876056E-3,61.884438
6.271200E-3,967.975140E-3,62.014133
6.287280E-3,973.140538E-3,62.230301
6.303360E-3,975.206673E-3,62.316769
6.319440E-3,978.305817E-3,62.446465
6.335520E-3,971.074343E-3,62.143833
6.351600E-3,976.239741E-3,62.360001
6.367680E-3,979.338825E-3,62.489697
6.383760E-3,973.140538E-3,62.230301
6.399841E-3,967.975140E-3,62.014133
6.415920E-3,967.975140E-3,62.014133
6.432001E-3,964.876056E-3,61.884438
6.448080E-3,974.173665E-3,62.273537
6.464161E-3,976.239741E-3,62.360001
6.480240E-3,971.074343E-3,62.143833
6.496320E-3,972.107410E-3,62.187065
6.512400E-3,970.041215E-3,62.100597
6.528480E-3,965.909064E-3,61.927670
6.544560E-3,965.909064E-3,61.927670
