Start,DBDBDB,
End,6D6D6D,
,,
x,y,Luminance
0.000000E+0,982.054472E-3,90.114136
16.080001E-6,980.816841E-3,90.027672
32.160002E-6,977.722883E-3,89.811516
48.240003E-6,979.579210E-3,89.941208
64.320004E-6,982.054472E-3,90.114136
80.400001E-6,980.816841E-3,90.027672
96.480006E-6,983.292103E-3,90.200600
112.560010E-6,978.960454E-3,89.897980
128.640007E-6,980.197966E-3,89.984436
144.720005E-6,981.435597E-3,90.070900
160.800002E-6,981.435597E-3,90.070900
176.880014E-6,979.579210E-3,89.941208
192.960011E-6,978.341639E-3,89.854744
209.040008E-6,978.960454E-3,89.897980
225.120020E-6,977.722883E-3,89.811516
241.200018E-6,981.435597E-3,90.070900
257.280015E-6,983.910859E-3,90.243828
273.360027E-6,981.435597E-3,90.070900
289.440010E-6,983.292103E-3,90.200600
305.520021E-6,982.673228E-3,90.157364
321.600004E-6,984.529734E-3,90.287064
337.680016E-6,981.435597E-3,90.070900
353.760028E-6,980.197966E-3,89.984436
369.840011E-6,981.435597E-3,90.070900
385.920022E-6,983.292103E-3,90.200600
402.000034E-6,985.148489E-3,90.330292
418.080017E-6,980.816841E-3,90.027672
434.160029E-6,980.816841E-3,90.027672
450.240041E-6,980.197966E-3,89.984436
466.320023E-6,983.292103E-3,90.200600
482.400035E-6,982.054472E-3,90.114136
498.480047E-6,980.816841E-3,90.027672
514.560030E-6,982.673228E-3,90.157364
530.640013E-6,981.435597E-3,90.070900
546.720054E-6,981.435597E-3,90.070900
562.800036E-6,980.816841E-3,90.027672
578.880019E-6,983.292103E-3,90.200600
594.960060E-6,980.197966E-3,89.984436
611.040043E-6,981.435597E-3,90.070900
627.120025E-6,982.054472E-3,90.114136
643.200008E-6,981.435597E-3,90.070900
659.280049E-6,978.341639E-3,89.854744
675.360032E-6,976.485252E-3,89.725052
691.440015E-6,982.673228E-3,90.157364
707.520056E-6,981.435597E-3,90.070900
723.600038E-6,980.197966E-3,89.984436
739.680021E-6,983.910859E-3,90.243828
755.760062E-6,982.054472E-3,90.114136
771.840045E-6,978.960454E-3,89.897980
787.920028E-6,983.910859E-3,90.243828
804.000068E-6,978.960454E-3,89.897980
820.080051E-6,980.197966E-3,89.984436
836.160034E-6,978.960454E-3,89.897980
852.240075E-6,982.054472E-3,90.114136
868.320058E-6,980.197966E-3,89.984436
884.400040E-6,977.103889E-3,89.768272
900.480081E-6,979.579210E-3,89.941208
916.560064E-6,978.341639E-3,89.854744
932.640047E-6,981.435597E-3,90.070900
948.720030E-6,978.960454E-3,89.897980
964.800071E-6,977.722883E-3,89.811516
980.880111E-6,979.579210E-3,89.941208
996.960094E-6,979.579210E-3,89.941208
1.013040E-3,981.435597E-3,90.070900
1.029120E-3,978.960454E-3,89.897980
1.045200E-3,977.103889E-3,89.768272
1.061280E-3,980.197966E-3,89.984436
1.077360E-3,978.341639E-3,89.854744
1.093440E-3,981.435597E-3,90.070900
1.109520E-3,978.341639E-3,89.854744
1.125600E-3,978.960454E-3,89.897980
1.141680E-3,979.579210E-3,89.941208
1.157760E-3,980.197966E-3,89.984436
1.173840E-3,981.435597E-3,90.070900
1.189920E-3,979.579210E-3,89.941208
1.206000E-3,978.341639E-3,89.854744
1.222080E-3,981.435597E-3,90.070900
1.238160E-3,978.341639E-3,89.854744
1.254240E-3,975.247502E-3,89.638580
1.270320E-3,975.247502E-3,89.638580
1.286400E-3,980.816841E-3,90.027672
1.302480E-3,983.292103E-3,90.200600
1.318560E-3,980.197966E-3,89.984436
1.334640E-3,977.103889E-3,89.768272
1.350720E-3,975.866258E-3,89.681808
1.366800E-3,977.722883E-3,89.811516
1.382880E-3,978.960454E-3,89.897980
1.398960E-3,980.197966E-3,89.984436
1.415040E-3,979.579210E-3,89.941208
1.431120E-3,980.197966E-3,89.984436
1.447200E-3,980.816841E-3,90.027672
1.463280E-3,977.103889E-3,89.768272
1.479360E-3,978.341639E-3,89.854744
1.495440E-3,977.722883E-3,89.811516
1.511520E-3,979.579210E-3,89.941208
1.527600E-3,979.579210E-3,89.941208
1.543680E-3,978.341639E-3,89.854744
1.559760E-3,981.435597E-3,90.070900
1.575840E-3,982.673228E-3,90.157364
1.591920E-3,980.816841E-3,90.027672
1.608000E-3,979.579210E-3,89.941208
1.624080E-3,978.960454E-3,89.897980
1.640160E-3,979.579210E-3,89.941208
1.656240E-3,981.435597E-3,90.070900
1.672320E-3,976.485252E-3,89.725052
1.688400E-3,974.628627E-3,89.595345
1.704480E-3,979.579210E-3,89.941208
1.720560E-3,983.910859E-3,90.243828
1.736640E-3,983.292103E-3,90.200600
1.752720E-3,981.435597E-3,90.070900
1.768800E-3,982.054472E-3,90.114136
1.784880E-3,977.722883E-3,89.811516
1.800960E-3,977.722883E-3,89.811516
1.817040E-3,981.435597E-3,90.070900
1.833120E-3,981.435597E-3,90.070900
1.849200E-3,978.960454E-3,89.897980
1.865280E-3,977.722883E-3,89.811516
1.881360E-3,974.628627E-3,89.595345
1.897440E-3,974.628627E-3,89.595345
1.913520E-3,975.866258E-3,89.681808
1.929600E-3,978.960454E-3,89.897980
1.945680E-3,978.960454E-3,89.897980
1.961760E-3,980.197966E-3,89.984436
1.977840E-3,980.197966E-3,89.984436
1.993920E-3,981.435597E-3,90.070900
2.010000E-3,978.960454E-3,89.897980
2.026080E-3,975.247502E-3,89.638580
2.042160E-3,974.009871E-3,89.552116
2.058240E-3,975.866258E-3,89.681808
2.074320E-3,978.960454E-3,89.897980
2.090400E-3,978.341639E-3,89.854744
2.106480E-3,978.960454E-3,89.897980
2.122560E-3,977.722883E-3,89.811516
2.138640E-3,975.866258E-3,89.681808
2.154720E-3,974.628627E-3,89.595345
2.170800E-3,977.103889E-3,89.768272
2.186880E-3,977.103889E-3,89.768272
2.202960E-3,977.722883E-3,89.811516
2.219040E-3,977.103889E-3,89.768272
2.235120E-3,975.866258E-3,89.681808
2.251200E-3,977.722883E-3,89.811516
2.267280E-3,982.673228E-3,90.157364
2.283360E-3,979.579210E-3,89.941208
2.299440E-3,980.197966E-3,89.984436
2.315520E-3,975.247502E-3,89.638580
2.331600E-3,973.390996E-3,89.508881
2.347680E-3,972.153485E-3,89.422424
2.363760E-3,975.866258E-3,89.681808
2.379840E-3,976.485252E-3,89.725052
2.395920E-3,983.910859E-3,90.243828
2.412000E-3,983.910859E-3,90.243828
2.428080E-3,980.816841E-3,90.027672
2.444160E-3,976.485252E-3,89.725052
2.460240E-3,975.247502E-3,89.638580
2.476320E-3,977.722883E-3,89.811516
2.492400E-3,979.579210E-3,89.941208
2.508480E-3,977.103889E-3,89.768272
2.524560E-3,977.722883E-3,89.811516
2.540640E-3,973.390996E-3,89.508881
2.556720E-3,972.153485E-3,89.422424
2.572800E-3,975.866258E-3,89.681808
2.588880E-3,972.153485E-3,89.422424
2.604960E-3,975.247502E-3,89.638580
2.621040E-3,976.485252E-3,89.725052
2.637120E-3,979.579210E-3,89.941208
2.653200E-3,978.341639E-3,89.854744
2.669280E-3,978.341639E-3,89.854744
2.685360E-3,977.722883E-3,89.811516
2.701440E-3,977.103889E-3,89.768272
2.717520E-3,977.103889E-3,89.768272
2.733600E-3,970.915794E-3,89.335953
2.749680E-3,972.772241E-3,89.465652
2.765760E-3,976.485252E-3,89.725052
2.781840E-3,979.579210E-3,89.941208
2.797920E-3,980.816841E-3,90.027672
2.814000E-3,977.722883E-3,89.811516
2.830080E-3,975.866258E-3,89.681808
2.846160E-3,973.390996E-3,89.508881
2.862240E-3,974.009871E-3,89.552116
2.878320E-3,970.915794E-3,89.335953
2.894400E-3,973.390996E-3,89.508881
2.910480E-3,977.103889E-3,89.768272
2.926560E-3,976.485252E-3,89.725052
2.942640E-3,976.485252E-3,89.725052
2.958720E-3,975.866258E-3,89.681808
2.974800E-3,977.722883E-3,89.811516
2.990880E-3,977.103889E-3,89.768272
3.006960E-3,974.009871E-3,89.552116
3.023040E-3,975.247502E-3,89.638580
3.039120E-3,976.485252E-3,89.725052
3.055200E-3,974.628627E-3,89.595345
3.071280E-3,974.009871E-3,89.552116
3.087360E-3,974.009871E-3,89.552116
3.103440E-3,975.866258E-3,89.681808
3.119520E-3,980.197966E-3,89.984436
3.135600E-3,982.054472E-3,90.114136
3.151680E-3,977.722883E-3,89.811516
3.167760E-3,972.772241E-3,89.465652
3.183840E-3,971.534669E-3,89.379189
3.199920E-3,973.390996E-3,89.508881
3.216000E-3,975.866258E-3,89.681808
3.232080E-3,976.485252E-3,89.725052
3.248160E-3,974.628627E-3,89.595345
3.264240E-3,973.390996E-3,89.508881
3.280320E-3,975.866258E-3,89.681808
3.296400E-3,975.247502E-3,89.638580
3.312480E-3,974.628627E-3,89.595345
3.328560E-3,975.866258E-3,89.681808
3.344640E-3,969.678164E-3,89.249489
3.360720E-3,969.059408E-3,89.206261
3.376800E-3,969.059408E-3,89.206261
3.392880E-3,974.009871E-3,89.552116
3.408960E-3,974.628627E-3,89.595345
3.425040E-3,974.628627E-3,89.595345
3.441120E-3,974.628627E-3,89.595345
3.457200E-3,974.628627E-3,89.595345
3.473280E-3,977.722883E-3,89.811516
3.489360E-3,977.722883E-3,89.811516
3.505440E-3,975.247502E-3,89.638580
3.521520E-3,974.628627E-3,89.595345
3.537600E-3,975.866258E-3,89.681808
3.553680E-3,972.153485E-3,89.422424
3.569760E-3,969.059408E-3,89.206261
3.585840E-3,970.297039E-3,89.292725
3.601920E-3,972.153485E-3,89.422424
3.618000E-3,974.628627E-3,89.595345
3.634080E-3,974.009871E-3,89.552116
3.650160E-3,975.247502E-3,89.638580
3.666240E-3,974.009871E-3,89.552116
3.682320E-3,972.153485E-3,89.422424
3.698400E-3,972.153485E-3,89.422424
3.714480E-3,974.628627E-3,89.595345
3.730560E-3,972.772241E-3,89.465652
3.746640E-3,971.534669E-3,89.379189
3.762720E-3,972.153485E-3,89.422424
3.778800E-3,976.485252E-3,89.725052
3.794880E-3,976.485252E-3,89.725052
3.810960E-3,974.009871E-3,89.552116
3.827040E-3,970.915794E-3,89.335953
3.843120E-3,977.722883E-3,89.811516
3.859200E-3,975.866258E-3,89.681808
3.875280E-3,971.534669E-3,89.379189
3.891360E-3,969.678164E-3,89.249489
3.907440E-3,972.772241E-3,89.465652
3.923520E-3,969.059408E-3,89.206261
3.939600E-3,967.821777E-3,89.119797
3.955680E-3,974.009871E-3,89.552116
3.971760E-3,975.866258E-3,89.681808
3.987840E-3,969.059408E-3,89.206261
4.003920E-3,970.915794E-3,89.335953
4.020000E-3,970.297039E-3,89.292725
4.036080E-3,968.440652E-3,89.163033
4.052160E-3,970.915794E-3,89.335953
4.068240E-3,974.628627E-3,89.595345
4.084320E-3,969.678164E-3,89.249489
4.100400E-3,973.390996E-3,89.508881
4.116480E-3,970.915794E-3,89.335953
4.132560E-3,972.153485E-3,89.422424
4.148640E-3,973.390996E-3,89.508881
4.164720E-3,972.153485E-3,89.422424
4.180800E-3,970.297039E-3,89.292725
4.196880E-3,970.297039E-3,89.292725
4.212960E-3,971.534669E-3,89.379189
4.229040E-3,973.390996E-3,89.508881
4.245120E-3,973.390996E-3,89.508881
4.261200E-3,972.153485E-3,89.422424
4.277280E-3,970.297039E-3,89.292725
4.293360E-3,975.247502E-3,89.638580
4.309440E-3,974.628627E-3,89.595345
4.325520E-3,972.772241E-3,89.465652
4.341600E-3,967.821777E-3,89.119797
4.357680E-3,971.534669E-3,89.379189
4.373760E-3,974.628627E-3,89.595345
4.389840E-3,972.772241E-3,89.465652
4.405920E-3,969.059408E-3,89.206261
4.422000E-3,974.009871E-3,89.552116
4.438080E-3,973.390996E-3,89.508881
4.454160E-3,970.297039E-3,89.292725
4.470240E-3,969.678164E-3,89.249489
4.486320E-3,970.297039E-3,89.292725
4.502400E-3,966.584146E-3,89.033333
4.518480E-3,967.821777E-3,89.119797
4.534560E-3,970.915794E-3,89.335953
4.550640E-3,972.153485E-3,89.422424
4.566720E-3,970.915794E-3,89.335953
4.582800E-3,972.153485E-3,89.422424
4.598880E-3,969.678164E-3,89.249489
4.614960E-3,973.390996E-3,89.508881
4.631040E-3,972.772241E-3,89.465652
4.647120E-3,972.153485E-3,89.422424
4.663200E-3,972.153485E-3,89.422424
4.679280E-3,970.915794E-3,89.335953
4.695360E-3,971.534669E-3,89.379189
4.711440E-3,969.678164E-3,89.249489
4.727520E-3,972.772241E-3,89.465652
4.743600E-3,971.534669E-3,89.379189
4.759680E-3,971.534669E-3,89.379189
4.775760E-3,969.059408E-3,89.206261
4.791840E-3,969.678164E-3,89.249489
4.807920E-3,973.390996E-3,89.508881
4.824000E-3,973.390996E-3,89.508881
4.840080E-3,970.297039E-3,89.292725
4.856160E-3,969.678164E-3,89.249489
4.872240E-3,970.915794E-3,89.335953
4.888320E-3,969.059408E-3,89.206261
4.904400E-3,970.297039E-3,89.292725
4.920480E-3,970.297039E-3,89.292725
4.936560E-3,969.678164E-3,89.249489
4.952640E-3,969.059408E-3,89.206261
4.968720E-3,970.297039E-3,89.292725
4.984800E-3,970.297039E-3,89.292725
5.000880E-3,969.678164E-3,89.249489
5.016960E-3,967.202902E-3,89.076561
5.033040E-3,970.297039E-3,89.292725
5.049120E-3,969.678164E-3,89.249489
5.065200E-3,965.965331E-3,88.990097
5.081280E-3,967.202902E-3,89.076561
5.097360E-3,969.678164E-3,89.249489
5.113440E-3,969.059408E-3,89.206261
5.129520E-3,965.346575E-3,88.946869
5.145600E-3,969.678164E-3,89.249489
5.161680E-3,972.153485E-3,89.422424
5.177760E-3,971.534669E-3,89.379189
5.193840E-3,970.915794E-3,89.335953
5.209920E-3,970.297039E-3,89.292725
5.226000E-3,970.915794E-3,89.335953
5.242080E-3,967.202902E-3,89.076561
5.258160E-3,969.678164E-3,89.249489
5.274240E-3,972.153485E-3,89.422424
5.290320E-3,970.297039E-3,89.292725
5.306400E-3,969.059408E-3,89.206261
5.322480E-3,968.440652E-3,89.163033
5.338560E-3,969.678164E-3,89.249489
5.354641E-3,967.202902E-3,89.076561
5.370720E-3,968.440652E-3,89.163033
5.386801E-3,967.821777E-3,89.119797
5.402880E-3,967.821777E-3,89.119797
5.418960E-3,969.059408E-3,89.206261
5.435040E-3,969.059408E-3,89.206261
5.451120E-3,970.915794E-3,89.335953
5.467200E-3,969.678164E-3,89.249489
5.483280E-3,970.915794E-3,89.335953
5.499360E-3,967.202902E-3,89.076561
5.515440E-3,968.440652E-3,89.163033
5.531520E-3,969.678164E-3,89.249489
5.547600E-3,969.678164E-3,89.249489
5.563681E-3,965.965331E-3,88.990097
5.579760E-3,964.727700E-3,88.903633
5.595841E-3,969.059408E-3,89.206261
5.611920E-3,969.059408E-3,89.206261
5.628000E-3,969.059408E-3,89.206261
5.644080E-3,970.297039E-3,89.292725
5.660160E-3,969.059408E-3,89.206261
5.676240E-3,970.915794E-3,89.335953
5.692320E-3,968.440652E-3,89.163033
5.708400E-3,970.915794E-3,89.335953
5.724480E-3,967.202902E-3,89.076561
5.740560E-3,969.059408E-3,89.206261
5.756640E-3,968.440652E-3,89.163033
5.772721E-3,970.297039E-3,89.292725
5.788800E-3,972.153485E-3,89.422424
5.804881E-3,967.202902E-3,89.076561
5.820960E-3,964.727700E-3,88.903633
5.837040E-3,967.202902E-3,89.076561
5.853120E-3,966.584146E-3,89.033333
5.869200E-3,965.346575E-3,88.946869
5.885280E-3,966.584146E-3,89.033333
5.901360E-3,965.965331E-3,88.990097
5.917440E-3,970.915794E-3,89.335953
5.933520E-3,965.346575E-3,88.946869
5.949600E-3,969.059408E-3,89.206261
5.965680E-3,967.821777E-3,89.119797
5.981761E-3,966.584146E-3,89.033333
5.997840E-3,968.440652E-3,89.163033
6.013921E-3,967.202902E-3,89.076561
6.030000E-3,968.440652E-3,89.163033
6.046080E-3,966.584146E-3,89.033333
6.062160E-3,964.108944E-3,88.860405
6.078240E-3,966.584146E-3,89.033333
6.094320E-3,971.534669E-3,89.379189
6.110400E-3,969.678164E-3,89.249489
6.126480E-3,967.821777E-3,89.119797
6.142560E-3,965.965331E-3,88.990097
6.158640E-3,966.584146E-3,89.033333
6.174720E-3,967.821777E-3,89.119797
6.190801E-3,966.584146E-3,89.033333
6.206880E-3,969.678164E-3,89.249489
6.222961E-3,969.059408E-3,89.206261
6.239040E-3,969.059408E-3,89.206261
6.255121E-3,968.440652E-3,89.163033
6.271200E-3,968.440652E-3,89.163033
6.287280E-3,966.584146E-3,89.033333
6.303360E-3,964.108944E-3,88.860405
6.319440E-3,961.014807E-3,88.644241
6.335520E-3,965.346575E-3,88.946869
6.351600E-3,963.490069E-3,88.817169
6.367680E-3,967.202902E-3,89.076561
6.383760E-3,964.108944E-3,88.860405
6.399841E-3,965.965331E-3,88.990097
6.415920E-3,964.727700E-3,88.903633
6.432001E-3,964.727700E-3,88.903633
6.448080E-3,968.440652E-3,89.163033
6.464161E-3,968.440652E-3,89.163033
6.480240E-3,969.059408E-3,89.206261
6.496320E-3,967.202902E-3,89.076561
6.512400E-3,971.534669E-3,89.379189
6.528480E-3,965.346575E-3,88.946869
6.544560E-3,964.727700E-3,88.903633
