Start,DBDBDB,
End,B6B6B6,
,,
x,y,Luminance
0.000000E+0,938.659072E-3,89.510170
16.080001E-6,934.379160E-3,89.380463
32.160002E-6,924.393475E-3,89.077835
48.240003E-6,927.246511E-3,89.164299
64.320004E-6,934.379160E-3,89.380463
80.400001E-6,931.526124E-3,89.293999
96.480006E-6,932.953000E-3,89.337242
112.560010E-6,931.526124E-3,89.293999
128.640007E-6,924.393475E-3,89.077835
144.720005E-6,932.953000E-3,89.337242
160.800002E-6,930.099785E-3,89.250771
176.880014E-6,930.099785E-3,89.250771
192.960011E-6,934.379160E-3,89.380463
209.040008E-6,934.379160E-3,89.380463
225.120020E-6,935.806036E-3,89.423706
241.200018E-6,930.099785E-3,89.250771
257.280015E-6,928.673148E-3,89.207535
273.360027E-6,925.820112E-3,89.121071
289.440010E-6,931.526124E-3,89.293999
305.520021E-6,928.673148E-3,89.207535
321.600004E-6,924.393475E-3,89.077835
337.680016E-6,924.393475E-3,89.077835
353.760028E-6,932.953000E-3,89.337242
369.840011E-6,928.673148E-3,89.207535
385.920022E-6,934.379160E-3,89.380463
402.000034E-6,937.232435E-3,89.466934
418.080017E-6,934.379160E-3,89.380463
434.160029E-6,922.967076E-3,89.034607
450.240041E-6,925.820112E-3,89.121071
466.320023E-6,930.099785E-3,89.250771
482.400035E-6,927.246511E-3,89.164299
498.480047E-6,935.806036E-3,89.423706
514.560030E-6,940.085411E-3,89.553398
530.640013E-6,930.099785E-3,89.250771
546.720054E-6,931.526124E-3,89.293999
562.800036E-6,930.099785E-3,89.250771
578.880019E-6,927.246511E-3,89.164299
594.960060E-6,931.526124E-3,89.293999
611.040043E-6,934.379160E-3,89.380463
627.120025E-6,925.820112E-3,89.121071
643.200008E-6,932.953000E-3,89.337242
659.280049E-6,932.953000E-3,89.337242
675.360032E-6,922.967076E-3,89.034607
691.440015E-6,924.393475E-3,89.077835
707.520056E-6,934.379160E-3,89.380463
723.600038E-6,938.659072E-3,89.510170
739.680021E-6,935.806036E-3,89.423706
755.760062E-6,930.099785E-3,89.250771
771.840045E-6,934.379160E-3,89.380463
787.920028E-6,942.938447E-3,89.639862
804.000068E-6,941.512048E-3,89.596634
820.080051E-6,924.393475E-3,89.077835
836.160034E-6,931.526124E-3,89.293999
852.240075E-6,947.218120E-3,89.769562
868.320058E-6,947.218120E-3,89.769562
884.400040E-6,947.218120E-3,89.769562
900.480081E-6,948.644459E-3,89.812790
916.560064E-6,950.071335E-3,89.856033
932.640047E-6,942.938447E-3,89.639862
948.720030E-6,941.512048E-3,89.596634
964.800071E-6,944.365084E-3,89.683098
980.880111E-6,952.924371E-3,89.942497
996.960094E-6,954.350770E-3,89.985725
1.013040E-3,955.777407E-3,90.028961
1.029120E-3,954.350770E-3,89.985725
1.045200E-3,945.791483E-3,89.726326
1.061280E-3,961.483419E-3,90.201889
1.077360E-3,958.630383E-3,90.115425
1.093440E-3,950.071335E-3,89.856033
1.109520E-3,950.071335E-3,89.856033
1.125600E-3,952.924371E-3,89.942497
1.141680E-3,952.924371E-3,89.942497
1.157760E-3,960.056782E-3,90.158653
1.173840E-3,968.616307E-3,90.418060
1.189920E-3,962.909818E-3,90.245117
1.206000E-3,955.777407E-3,90.028961
1.222080E-3,952.924371E-3,89.942497
1.238160E-3,964.336455E-3,90.288353
1.254240E-3,968.616307E-3,90.418060
1.270320E-3,964.336455E-3,90.288353
1.286400E-3,957.203746E-3,90.072189
1.302480E-3,964.336455E-3,90.288353
1.318560E-3,965.763330E-3,90.331596
1.334640E-3,964.336455E-3,90.288353
1.350720E-3,962.909818E-3,90.245117
1.366800E-3,964.336455E-3,90.288353
1.382880E-3,958.630383E-3,90.115425
1.398960E-3,967.189729E-3,90.374825
1.415040E-3,967.189729E-3,90.374825
1.431120E-3,962.909818E-3,90.245117
1.447200E-3,967.189729E-3,90.374825
1.463280E-3,965.763330E-3,90.331596
1.479360E-3,968.616307E-3,90.418060
1.495440E-3,965.763330E-3,90.331596
1.511520E-3,961.483419E-3,90.201889
1.527600E-3,964.336455E-3,90.288353
1.543680E-3,971.469343E-3,90.504524
1.559760E-3,972.895741E-3,90.547752
1.575840E-3,960.056782E-3,90.158653
1.591920E-3,964.336455E-3,90.288353
1.608000E-3,961.483419E-3,90.201889
1.624080E-3,970.042706E-3,90.461288
1.640160E-3,975.748718E-3,90.634216
1.656240E-3,981.454790E-3,90.807144
1.672320E-3,968.616307E-3,90.418060
1.688400E-3,975.748718E-3,90.634216
1.704480E-3,972.895741E-3,90.547752
1.720560E-3,978.601754E-3,90.720680
1.736640E-3,978.601754E-3,90.720680
1.752720E-3,975.748718E-3,90.634216
1.768800E-3,975.748718E-3,90.634216
1.784880E-3,970.042706E-3,90.461288
1.800960E-3,975.748718E-3,90.634216
1.817040E-3,971.469343E-3,90.504524
1.833120E-3,964.336455E-3,90.288353
1.849200E-3,968.616307E-3,90.418060
1.865280E-3,974.322379E-3,90.590988
1.881360E-3,981.454790E-3,90.807144
1.897440E-3,967.189729E-3,90.374825
1.913520E-3,964.336455E-3,90.288353
1.929600E-3,967.189729E-3,90.374825
1.945680E-3,977.175355E-3,90.677452
1.961760E-3,970.042706E-3,90.461288
1.977840E-3,965.763330E-3,90.331596
1.993920E-3,970.042706E-3,90.461288
2.010000E-3,972.895741E-3,90.547752
2.026080E-3,981.454790E-3,90.807144
2.042160E-3,972.895741E-3,90.547752
2.058240E-3,981.454790E-3,90.807144
2.074320E-3,972.895741E-3,90.547752
2.090400E-3,975.748718E-3,90.634216
2.106480E-3,971.469343E-3,90.504524
2.122560E-3,971.469343E-3,90.504524
2.138640E-3,978.601754E-3,90.720680
2.154720E-3,977.175355E-3,90.677452
2.170800E-3,972.895741E-3,90.547752
2.186880E-3,974.322379E-3,90.590988
2.202960E-3,972.895741E-3,90.547752
2.219040E-3,972.895741E-3,90.547752
2.235120E-3,972.895741E-3,90.547752
2.251200E-3,975.748718E-3,90.634216
2.267280E-3,974.322379E-3,90.590988
2.283360E-3,974.322379E-3,90.590988
2.299440E-3,970.042706E-3,90.461288
2.315520E-3,970.042706E-3,90.461288
2.331600E-3,971.469343E-3,90.504524
2.347680E-3,978.601754E-3,90.720680
2.363760E-3,980.028391E-3,90.763916
2.379840E-3,974.322379E-3,90.590988
2.395920E-3,970.042706E-3,90.461288
2.412000E-3,967.189729E-3,90.374825
2.428080E-3,975.748718E-3,90.634216
2.444160E-3,980.028391E-3,90.763916
2.460240E-3,972.895741E-3,90.547752
2.476320E-3,970.042706E-3,90.461288
2.492400E-3,980.028391E-3,90.763916
2.508480E-3,974.322379E-3,90.590988
2.524560E-3,968.616307E-3,90.418060
2.540640E-3,964.336455E-3,90.288353
2.556720E-3,964.336455E-3,90.288353
2.572800E-3,972.895741E-3,90.547752
2.588880E-3,974.322379E-3,90.590988
2.604960E-3,981.454790E-3,90.807144
2.621040E-3,972.895741E-3,90.547752
