Start,6D6D6D,
End,FFFFFF,
,,
x,y,Luminance
0.000000E+0,6.193249E-3,22.713030
16.080001E-6,4.954591E-3,22.583345
32.160002E-6,4.541724E-3,22.540119
48.240003E-6,5.780381E-3,22.669804
64.320004E-6,7.019002E-3,22.799484
80.400001E-6,7.019002E-3,22.799484
96.480006E-6,5.780381E-3,22.669804
112.560010E-6,6.193249E-3,22.713030
128.640007E-6,2.064428E-3,22.280752
144.720005E-6,4.128838E-3,22.496891
160.800002E-6,6.606134E-3,22.756258
176.880014E-6,6.193249E-3,22.713030
192.960011E-6,5.367477E-3,22.626574
209.040008E-6,3.715971E-3,22.453665
225.120020E-6,2.890181E-3,22.367207
241.200018E-6,4.954591E-3,22.583345
257.280015E-6,4.541724E-3,22.540119
273.360027E-6,4.128838E-3,22.496891
289.440010E-6,5.780381E-3,22.669804
305.520021E-6,4.128838E-3,22.496891
321.600004E-6,4.128838E-3,22.496891
337.680016E-6,2.064428E-3,22.280752
353.760028E-6,4.128838E-3,22.496891
369.840011E-6,3.303067E-3,22.410435
385.920022E-6,1.238657E-3,22.194296
402.000034E-6,2.890181E-3,22.367207
418.080017E-6,6.193249E-3,22.713030
434.160029E-6,5.780381E-3,22.669804
450.240041E-6,5.367477E-3,22.626574
466.320023E-6,4.954591E-3,22.583345
482.400035E-6,4.954591E-3,22.583345
498.480047E-6,4.541724E-3,22.540119
514.560030E-6,1.238657E-3,22.194296
530.640013E-6,3.715971E-3,22.453665
546.720054E-6,5.780381E-3,22.669804
562.800036E-6,4.541724E-3,22.540119
578.880019E-6,2.890181E-3,22.367207
594.960060E-6,3.715971E-3,22.453665
611.040043E-6,2.890181E-3,22.367207
627.120025E-6,2.477296E-3,22.323978
643.200008E-6,4.128838E-3,22.496891
659.280049E-6,4.954591E-3,22.583345
675.360032E-6,4.128838E-3,22.496891
691.440015E-6,5.367477E-3,22.626574
707.520056E-6,3.715971E-3,22.453665
723.600038E-6,3.715971E-3,22.453665
739.680021E-6,3.715971E-3,22.453665
755.760062E-6,3.715971E-3,22.453665
771.840045E-6,5.367477E-3,22.626574
787.920028E-6,5.780381E-3,22.669804
804.000068E-6,4.954591E-3,22.583345
820.080051E-6,3.303067E-3,22.410435
836.160034E-6,1.651543E-3,22.237524
852.240075E-6,1.238657E-3,22.194296
868.320058E-6,1.651543E-3,22.237524
884.400040E-6,412.885682E-6,22.107840
900.480081E-6,4.954591E-3,22.583345
916.560064E-6,7.431888E-3,22.842712
932.640047E-6,3.303067E-3,22.410435
948.720030E-6,4.541724E-3,22.540119
964.800071E-6,5.780381E-3,22.669804
980.880111E-6,2.890181E-3,22.367207
996.960094E-6,3.715971E-3,22.453665
1.013040E-3,3.303067E-3,22.410435
1.029120E-3,4.541724E-3,22.540119
1.045200E-3,5.367477E-3,22.626574
1.061280E-3,4.128838E-3,22.496891
1.077360E-3,4.541724E-3,22.540119
1.093440E-3,3.303067E-3,22.410435
1.109520E-3,2.477296E-3,22.323978
1.125600E-3,2.890181E-3,22.367207
1.141680E-3,3.715971E-3,22.453665
1.157760E-3,5.367477E-3,22.626574
1.173840E-3,7.019002E-3,22.799484
1.189920E-3,6.193249E-3,22.713030
1.206000E-3,5.780381E-3,22.669804
1.222080E-3,2.477296E-3,22.323978
1.238160E-3,2.477296E-3,22.323978
1.254240E-3,4.128838E-3,22.496891
1.270320E-3,5.780381E-3,22.669804
1.286400E-3,3.303067E-3,22.410435
1.302480E-3,3.303067E-3,22.410435
1.318560E-3,4.954591E-3,22.583345
1.334640E-3,4.954591E-3,22.583345
1.350720E-3,3.303067E-3,22.410435
1.366800E-3,5.780381E-3,22.669804
1.382880E-3,5.367477E-3,22.626574
1.398960E-3,5.367477E-3,22.626574
1.415040E-3,4.954591E-3,22.583345
1.431120E-3,5.780381E-3,22.669804
1.447200E-3,5.780381E-3,22.669804
1.463280E-3,1.238657E-3,22.194296
1.479360E-3,4.541724E-3,22.540119
1.495440E-3,4.541724E-3,22.540119
1.511520E-3,3.715971E-3,22.453665
1.527600E-3,6.193249E-3,22.713030
1.543680E-3,4.128838E-3,22.496891
