Start,B6B6B6,
End,DBDBDB,
,,
x,y,Luminance
0.000000E+0,57.377100E-3,64.558418
16.080001E-6,57.377100E-3,64.558418
32.160002E-6,47.814310E-3,64.255821
48.240003E-6,47.814310E-3,64.255821
64.320004E-6,54.644875E-3,64.471962
80.400001E-6,47.814310E-3,64.255821
96.480006E-6,50.546296E-3,64.342270
112.560010E-6,50.546296E-3,64.342270
128.640007E-6,57.377100E-3,64.558418
144.720005E-6,51.912647E-3,64.385506
160.800002E-6,53.278763E-3,64.428734
176.880014E-6,53.278763E-3,64.428734
192.960011E-6,54.644875E-3,64.471962
209.040008E-6,50.546296E-3,64.342270
225.120020E-6,49.180422E-3,64.299049
241.200018E-6,56.010988E-3,64.515190
257.280015E-6,54.644875E-3,64.471962
273.360027E-6,54.644875E-3,64.471962
289.440010E-6,43.715730E-3,64.126129
305.520021E-6,39.617512E-3,63.996449
321.600004E-6,39.617512E-3,63.996449
337.680016E-6,51.912647E-3,64.385506
353.760028E-6,58.743212E-3,64.601646
369.840011E-6,54.644875E-3,64.471962
385.920022E-6,49.180422E-3,64.299049
402.000034E-6,53.278763E-3,64.428734
418.080017E-6,57.377100E-3,64.558418
434.160029E-6,58.743212E-3,64.601646
450.240041E-6,47.814310E-3,64.255821
466.320023E-6,47.814310E-3,64.255821
482.400035E-6,60.109325E-3,64.644875
498.480047E-6,53.278763E-3,64.428734
514.560030E-6,50.546296E-3,64.342270
530.640013E-6,50.546296E-3,64.342270
546.720054E-6,53.278763E-3,64.428734
562.800036E-6,50.546296E-3,64.342270
578.880019E-6,47.814310E-3,64.255821
594.960060E-6,51.912647E-3,64.385506
611.040043E-6,53.278763E-3,64.428734
627.120025E-6,57.377100E-3,64.558418
643.200008E-6,51.912647E-3,64.385506
659.280049E-6,50.546296E-3,64.342270
675.360032E-6,43.715730E-3,64.126129
691.440015E-6,46.448197E-3,64.212593
707.520056E-6,45.082085E-3,64.169365
723.600038E-6,42.349618E-3,64.082901
739.680021E-6,46.448197E-3,64.212593
755.760062E-6,53.278763E-3,64.428734
771.840045E-6,57.377100E-3,64.558418
787.920028E-6,49.180422E-3,64.299049
804.000068E-6,42.349618E-3,64.082901
820.080051E-6,50.546296E-3,64.342270
836.160034E-6,54.644875E-3,64.471962
852.240075E-6,50.546296E-3,64.342270
868.320058E-6,50.546296E-3,64.342270
884.400040E-6,43.715730E-3,64.126129
900.480081E-6,51.912647E-3,64.385506
916.560064E-6,45.082085E-3,64.169365
932.640047E-6,36.885165E-3,63.909988
948.720030E-6,40.983506E-3,64.039673
964.800071E-6,46.448197E-3,64.212593
980.880111E-6,51.912647E-3,64.385506
996.960094E-6,49.180422E-3,64.299049
1.013040E-3,40.983506E-3,64.039673
1.029120E-3,42.349618E-3,64.082901
1.045200E-3,46.448197E-3,64.212593
1.061280E-3,40.983506E-3,64.039673
1.077360E-3,47.814310E-3,64.255821
1.093440E-3,50.546296E-3,64.342270
1.109520E-3,47.814310E-3,64.255821
1.125600E-3,54.644875E-3,64.471962
1.141680E-3,51.912647E-3,64.385506
1.157760E-3,46.448197E-3,64.212593
1.173840E-3,43.715730E-3,64.126129
