Start,DBDBDB,
End,242424,
,,
x,y,Luminance
0.000000E+0,981.684864E-3,92.524521
16.080001E-6,980.769157E-3,92.438072
32.160002E-6,981.226981E-3,92.481293
48.240003E-6,983.516395E-3,92.697433
64.320004E-6,985.347867E-3,92.870338
80.400001E-6,983.974278E-3,92.740662
96.480006E-6,980.769157E-3,92.438072
112.560010E-6,981.684864E-3,92.524521
128.640007E-6,982.142746E-3,92.567749
144.720005E-6,982.142746E-3,92.567749
160.800002E-6,983.058512E-3,92.654205
176.880014E-6,982.142746E-3,92.567749
192.960011E-6,983.974278E-3,92.740662
209.040008E-6,983.516395E-3,92.697433
225.120020E-6,982.142746E-3,92.567749
241.200018E-6,984.890103E-3,92.827118
257.280015E-6,980.769157E-3,92.438072
273.360027E-6,979.853392E-3,92.351616
289.440010E-6,980.769157E-3,92.438072
305.520021E-6,983.516395E-3,92.697433
321.600004E-6,983.974278E-3,92.740662
337.680016E-6,981.684864E-3,92.524521
353.760028E-6,983.058512E-3,92.654205
369.840011E-6,981.226981E-3,92.481293
385.920022E-6,980.769157E-3,92.438072
402.000034E-6,980.769157E-3,92.438072
418.080017E-6,982.600629E-3,92.610977
434.160029E-6,983.516395E-3,92.697433
450.240041E-6,982.142746E-3,92.567749
466.320023E-6,981.226981E-3,92.481293
482.400035E-6,982.142746E-3,92.567749
498.480047E-6,985.805750E-3,92.913567
514.560030E-6,983.516395E-3,92.697433
530.640013E-6,984.432220E-3,92.783890
546.720054E-6,983.974278E-3,92.740662
562.800036E-6,981.226981E-3,92.481293
578.880019E-6,979.853392E-3,92.351616
594.960060E-6,978.937626E-3,92.265160
611.040043E-6,978.937626E-3,92.265160
627.120025E-6,979.395509E-3,92.308388
643.200008E-6,978.479743E-3,92.221931
659.280049E-6,980.311275E-3,92.394844
675.360032E-6,983.974278E-3,92.740662
691.440015E-6,984.432220E-3,92.783890
707.520056E-6,983.516395E-3,92.697433
723.600038E-6,982.142746E-3,92.567749
739.680021E-6,981.684864E-3,92.524521
755.760062E-6,983.058512E-3,92.654205
771.840045E-6,978.479743E-3,92.221931
787.920028E-6,978.937626E-3,92.265160
804.000068E-6,978.021860E-3,92.178703
820.080051E-6,979.853392E-3,92.351616
836.160034E-6,979.395509E-3,92.308388
852.240075E-6,980.311275E-3,92.394844
868.320058E-6,981.226981E-3,92.481293
884.400040E-6,981.684864E-3,92.524521
900.480081E-6,982.142746E-3,92.567749
916.560064E-6,983.974278E-3,92.740662
932.640047E-6,982.142746E-3,92.567749
948.720030E-6,980.311275E-3,92.394844
964.800071E-6,978.937626E-3,92.265160
980.880111E-6,979.853392E-3,92.351616
996.960094E-6,978.021860E-3,92.178703
1.013040E-3,975.732625E-3,91.962578
1.029120E-3,979.395509E-3,92.308388
1.045200E-3,983.058512E-3,92.654205
1.061280E-3,982.600629E-3,92.610977
1.077360E-3,979.853392E-3,92.351616
1.093440E-3,977.106273E-3,92.092262
1.109520E-3,978.021860E-3,92.178703
1.125600E-3,978.937626E-3,92.265160
1.141680E-3,978.021860E-3,92.178703
1.157760E-3,976.648390E-3,92.049034
1.173840E-3,982.142746E-3,92.567749
1.189920E-3,982.142746E-3,92.567749
1.206000E-3,979.853392E-3,92.351616
1.222080E-3,978.937626E-3,92.265160
1.238160E-3,974.816799E-3,91.876122
1.254240E-3,976.648390E-3,92.049034
1.270320E-3,979.395509E-3,92.308388
1.286400E-3,982.142746E-3,92.567749
1.302480E-3,983.058512E-3,92.654205
1.318560E-3,979.395509E-3,92.308388
1.334640E-3,978.479743E-3,92.221931
1.350720E-3,975.274682E-3,91.919350
1.366800E-3,980.311275E-3,92.394844
1.382880E-3,982.142746E-3,92.567749
1.398960E-3,980.769157E-3,92.438072
1.415040E-3,981.226981E-3,92.481293
1.431120E-3,980.769157E-3,92.438072
1.447200E-3,979.395509E-3,92.308388
1.463280E-3,977.106273E-3,92.092262
1.479360E-3,978.021860E-3,92.178703
1.495440E-3,978.021860E-3,92.178703
1.511520E-3,977.106273E-3,92.092262
1.527600E-3,977.563977E-3,92.135475
1.543680E-3,980.311275E-3,92.394844
1.559760E-3,984.432220E-3,92.783890
1.575840E-3,983.516395E-3,92.697433
1.591920E-3,976.190507E-3,92.005806
1.608000E-3,977.106273E-3,92.092262
1.624080E-3,978.021860E-3,92.178703
1.640160E-3,977.106273E-3,92.092262
1.656240E-3,976.190507E-3,92.005806
1.672320E-3,978.937626E-3,92.265160
1.688400E-3,980.311275E-3,92.394844
1.704480E-3,980.769157E-3,92.438072
1.720560E-3,979.853392E-3,92.351616
1.736640E-3,981.684864E-3,92.524521
1.752720E-3,983.058512E-3,92.654205
1.768800E-3,979.853392E-3,92.351616
1.784880E-3,977.563977E-3,92.135475
1.800960E-3,978.021860E-3,92.178703
1.817040E-3,979.395509E-3,92.308388
1.833120E-3,981.684864E-3,92.524521
1.849200E-3,979.395509E-3,92.308388
1.865280E-3,978.021860E-3,92.178703
1.881360E-3,975.274682E-3,91.919350
1.897440E-3,976.190507E-3,92.005806
1.913520E-3,975.732625E-3,91.962578
1.929600E-3,977.106273E-3,92.092262
1.945680E-3,979.395509E-3,92.308388
1.961760E-3,977.563977E-3,92.135475
1.977840E-3,978.937626E-3,92.265160
1.993920E-3,979.395509E-3,92.308388
2.010000E-3,978.479743E-3,92.221931
2.026080E-3,978.479743E-3,92.221931
2.042160E-3,981.684864E-3,92.524521
2.058240E-3,985.347867E-3,92.870338
2.074320E-3,983.058512E-3,92.654205
2.090400E-3,983.058512E-3,92.654205
2.106480E-3,978.937626E-3,92.265160
2.122560E-3,973.443270E-3,91.746445
2.138640E-3,976.190507E-3,92.005806
2.154720E-3,977.563977E-3,92.135475
2.170800E-3,976.648390E-3,92.049034
2.186880E-3,977.563977E-3,92.135475
2.202960E-3,978.479743E-3,92.221931
2.219040E-3,978.021860E-3,92.178703
2.235120E-3,976.648390E-3,92.049034
2.251200E-3,981.226981E-3,92.481293
2.267280E-3,980.311275E-3,92.394844
2.283360E-3,978.937626E-3,92.265160
2.299440E-3,977.563977E-3,92.135475
2.315520E-3,977.563977E-3,92.135475
2.331600E-3,976.648390E-3,92.049034
2.347680E-3,978.479743E-3,92.221931
2.363760E-3,981.226981E-3,92.481293
2.379840E-3,980.311275E-3,92.394844
2.395920E-3,980.311275E-3,92.394844
2.412000E-3,976.190507E-3,92.005806
2.428080E-3,972.985387E-3,91.703217
2.444160E-3,975.732625E-3,91.962578
2.460240E-3,978.937626E-3,92.265160
2.476320E-3,973.443270E-3,91.746445
2.492400E-3,974.816799E-3,91.876122
2.508480E-3,975.732625E-3,91.962578
2.524560E-3,976.648390E-3,92.049034
2.540640E-3,980.769157E-3,92.438072
2.556720E-3,983.058512E-3,92.654205
2.572800E-3,981.684864E-3,92.524521
2.588880E-3,977.106273E-3,92.092262
2.604960E-3,975.274682E-3,91.919350
2.621040E-3,975.732625E-3,91.962578
2.637120E-3,978.479743E-3,92.221931
2.653200E-3,978.479743E-3,92.221931
2.669280E-3,978.021860E-3,92.178703
2.685360E-3,978.479743E-3,92.221931
2.701440E-3,977.563977E-3,92.135475
2.717520E-3,975.732625E-3,91.962578
2.733600E-3,975.274682E-3,91.919350
2.749680E-3,974.816799E-3,91.876122
2.765760E-3,975.732625E-3,91.962578
2.781840E-3,977.106273E-3,92.092262
2.797920E-3,977.106273E-3,92.092262
2.814000E-3,976.648390E-3,92.049034
2.830080E-3,978.479743E-3,92.221931
2.846160E-3,975.732625E-3,91.962578
2.862240E-3,973.443270E-3,91.746445
2.878320E-3,977.106273E-3,92.092262
2.894400E-3,978.021860E-3,92.178703
2.910480E-3,976.648390E-3,92.049034
2.926560E-3,976.190507E-3,92.005806
2.942640E-3,975.274682E-3,91.919350
2.958720E-3,977.106273E-3,92.092262
2.974800E-3,977.106273E-3,92.092262
2.990880E-3,975.732625E-3,91.962578
3.006960E-3,974.359035E-3,91.832901
3.023040E-3,974.816799E-3,91.876122
3.039120E-3,977.563977E-3,92.135475
3.055200E-3,976.190507E-3,92.005806
3.071280E-3,976.190507E-3,92.005806
3.087360E-3,976.190507E-3,92.005806
3.103440E-3,975.274682E-3,91.919350
3.119520E-3,976.648390E-3,92.049034
3.135600E-3,977.563977E-3,92.135475
3.151680E-3,976.190507E-3,92.005806
3.167760E-3,977.106273E-3,92.092262
3.183840E-3,978.479743E-3,92.221931
3.199920E-3,978.021860E-3,92.178703
3.216000E-3,978.021860E-3,92.178703
3.232080E-3,975.732625E-3,91.962578
3.248160E-3,978.937626E-3,92.265160
3.264240E-3,978.937626E-3,92.265160
3.280320E-3,976.648390E-3,92.049034
3.296400E-3,974.359035E-3,91.832901
3.312480E-3,976.190507E-3,92.005806
3.328560E-3,977.106273E-3,92.092262
3.344640E-3,976.648390E-3,92.049034
3.360720E-3,976.648390E-3,92.049034
3.376800E-3,975.732625E-3,91.962578
3.392880E-3,976.648390E-3,92.049034
3.408960E-3,977.563977E-3,92.135475
3.425040E-3,975.732625E-3,91.962578
3.441120E-3,975.732625E-3,91.962578
3.457200E-3,972.985387E-3,91.703217
3.473280E-3,975.732625E-3,91.962578
3.489360E-3,975.732625E-3,91.962578
3.505440E-3,975.274682E-3,91.919350
3.521520E-3,975.274682E-3,91.919350
3.537600E-3,975.274682E-3,91.919350
3.553680E-3,973.901153E-3,91.789673
