Start,DBDBDB,
End,FFFFFF,
,,
x,y,Luminance
0.000000E+0,3.708315E-3,91.877434
16.080001E-6,13.596937E-3,92.223251
32.160002E-6,13.596937E-3,92.223251
48.240003E-6,6.180525E-3,91.963890
64.320004E-6,1.236105E-3,91.790977
80.400001E-6,11.124726E-3,92.136795
96.480006E-6,7.416630E-3,92.007118
112.560010E-6,4.944420E-3,91.920662
128.640007E-6,3.708315E-3,91.877434
144.720005E-6,14.833478E-3,92.266495
160.800002E-6,4.944420E-3,91.920662
176.880014E-6,16.069366E-3,92.309715
192.960011E-6,24.722099E-3,92.612312
209.040008E-6,23.485996E-3,92.569084
225.120020E-6,17.305469E-3,92.352943
241.200018E-6,3.708315E-3,91.877434
257.280015E-6,8.652735E-3,92.050346
273.360027E-6,18.541574E-3,92.396172
289.440010E-6,23.485996E-3,92.569084
305.520021E-6,25.958205E-3,92.655540
321.600004E-6,25.958205E-3,92.655540
337.680016E-6,11.124726E-3,92.136795
353.760028E-6,9.888840E-3,92.093575
369.840011E-6,12.360832E-3,92.180023
385.920022E-6,11.124726E-3,92.136795
402.000034E-6,24.722099E-3,92.612312
418.080017E-6,28.430197E-3,92.741989
434.160029E-6,29.666303E-3,92.785217
450.240041E-6,30.902406E-3,92.828445
466.320023E-6,27.194092E-3,92.698761
482.400035E-6,27.194092E-3,92.698761
498.480047E-6,19.777680E-3,92.439400
514.560030E-6,28.430197E-3,92.741989
530.640013E-6,43.263458E-3,93.260727
546.720054E-6,34.610722E-3,92.958130
562.800036E-6,34.610722E-3,92.958130
578.880019E-6,29.666303E-3,92.785217
594.960060E-6,32.138512E-3,92.871674
611.040043E-6,37.082713E-3,93.044579
627.120025E-6,34.610722E-3,92.958130
643.200008E-6,38.318820E-3,93.087807
659.280049E-6,40.791027E-3,93.174263
675.360032E-6,34.610722E-3,92.958130
691.440015E-6,38.318820E-3,93.087807
707.520056E-6,30.902406E-3,92.828445
723.600038E-6,30.902406E-3,92.828445
739.680021E-6,28.430197E-3,92.741989
755.760062E-6,37.082713E-3,93.044579
771.840045E-6,43.263458E-3,93.260727
787.920028E-6,44.499561E-3,93.303955
804.000068E-6,39.554924E-3,93.131035
820.080051E-6,38.318820E-3,93.087807
836.160034E-6,32.138512E-3,92.871674
852.240075E-6,33.374615E-3,92.914902
868.320058E-6,40.791027E-3,93.174263
884.400040E-6,35.846826E-3,93.001358
900.480081E-6,29.666303E-3,92.785217
916.560064E-6,44.499561E-3,93.303955
932.640047E-6,51.916193E-3,93.563324
948.720030E-6,44.499561E-3,93.303955
964.800071E-6,40.791027E-3,93.174263
980.880111E-6,44.499561E-3,93.303955
996.960094E-6,38.318820E-3,93.087807
1.013040E-3,33.374615E-3,92.914902
1.029120E-3,45.735668E-3,93.347183
1.045200E-3,46.971772E-3,93.390411
1.061280E-3,45.735668E-3,93.347183
1.077360E-3,46.971772E-3,93.390411
1.093440E-3,45.735668E-3,93.347183
1.109520E-3,48.207875E-3,93.433640
1.125600E-3,42.027134E-3,93.217491
1.141680E-3,39.554924E-3,93.131035
1.157760E-3,34.610722E-3,92.958130
1.173840E-3,42.027134E-3,93.217491
1.189920E-3,49.443983E-3,93.476868
1.206000E-3,50.680086E-3,93.520096
1.222080E-3,46.971772E-3,93.390411
1.238160E-3,44.499561E-3,93.303955
1.254240E-3,43.263458E-3,93.260727
1.270320E-3,51.916193E-3,93.563324
1.286400E-3,46.971772E-3,93.390411
1.302480E-3,40.791027E-3,93.174263
1.318560E-3,44.499561E-3,93.303955
1.334640E-3,35.846826E-3,93.001358
1.350720E-3,37.082713E-3,93.044579
1.366800E-3,42.027134E-3,93.217491
1.382880E-3,45.735668E-3,93.347183
1.398960E-3,50.680086E-3,93.520096
1.415040E-3,53.152077E-3,93.606544
1.431120E-3,51.916193E-3,93.563324
1.447200E-3,50.680086E-3,93.520096
1.463280E-3,43.263458E-3,93.260727
1.479360E-3,44.499561E-3,93.303955
1.495440E-3,45.735668E-3,93.347183
1.511520E-3,45.735668E-3,93.347183
1.527600E-3,51.916193E-3,93.563324
1.543680E-3,46.971772E-3,93.390411
