Start,FFFFFF,
End,000000,
,,
x,y,Luminance
0.000000E+0,990.521312E-3,125.593277
16.080001E-6,991.536856E-3,125.722961
32.160002E-6,991.875410E-3,125.766190
48.240003E-6,991.536856E-3,125.722961
64.320004E-6,989.505768E-3,125.463600
80.400001E-6,988.490164E-3,125.333916
96.480006E-6,985.443473E-3,124.944878
112.560010E-6,989.844203E-3,125.506821
128.640007E-6,990.859807E-3,125.636505
144.720005E-6,991.198361E-3,125.679733
160.800002E-6,991.875410E-3,125.766190
176.880014E-6,988.828659E-3,125.377144
192.960011E-6,988.490164E-3,125.333916
209.040008E-6,987.474561E-3,125.204231
225.120020E-6,987.813115E-3,125.247459
241.200018E-6,989.167213E-3,125.420372
257.280015E-6,991.875410E-3,125.766190
273.360027E-6,993.229508E-3,125.939095
289.440010E-6,990.521312E-3,125.593277
305.520021E-6,987.813115E-3,125.247459
321.600004E-6,986.459076E-3,125.074562
337.680016E-6,987.813115E-3,125.247459
353.760028E-6,990.182757E-3,125.550049
369.840011E-6,991.198361E-3,125.679733
385.920022E-6,991.198361E-3,125.679733
402.000034E-6,990.859807E-3,125.636505
418.080017E-6,988.828659E-3,125.377144
434.160029E-6,986.120522E-3,125.031334
450.240041E-6,986.797512E-3,125.117775
466.320023E-6,986.120522E-3,125.031334
482.400035E-6,985.782027E-3,124.988106
498.480047E-6,987.813115E-3,125.247459
514.560030E-6,990.182757E-3,125.550049
530.640013E-6,990.182757E-3,125.550049
546.720054E-6,988.828659E-3,125.377144
562.800036E-6,986.797512E-3,125.117775
578.880019E-6,987.136006E-3,125.161003
594.960060E-6,988.151610E-3,125.290688
611.040043E-6,987.474561E-3,125.204231
627.120025E-6,988.828659E-3,125.377144
643.200008E-6,989.505768E-3,125.463600
659.280049E-6,989.167213E-3,125.420372
675.360032E-6,989.167213E-3,125.420372
691.440015E-6,989.844203E-3,125.506821
707.520056E-6,988.490164E-3,125.333916
723.600038E-6,986.459076E-3,125.074562
739.680021E-6,989.505768E-3,125.463600
755.760062E-6,988.490164E-3,125.333916
771.840045E-6,987.813115E-3,125.247459
787.920028E-6,989.844203E-3,125.506821
804.000068E-6,987.813115E-3,125.247459
820.080051E-6,988.828659E-3,125.377144
836.160034E-6,989.167213E-3,125.420372
852.240075E-6,987.136006E-3,125.161003
868.320058E-6,990.521312E-3,125.593277
884.400040E-6,989.844203E-3,125.506821
900.480081E-6,988.828659E-3,125.377144
916.560064E-6,988.490164E-3,125.333916
932.640047E-6,987.813115E-3,125.247459
948.720030E-6,988.490164E-3,125.333916
964.800071E-6,989.167213E-3,125.420372
980.880111E-6,989.167213E-3,125.420372
996.960094E-6,990.859807E-3,125.636505
1.013040E-3,992.552459E-3,125.852646
1.029120E-3,992.890954E-3,125.895866
1.045200E-3,990.859807E-3,125.636505
1.061280E-3,986.459076E-3,125.074562
1.077360E-3,986.120522E-3,125.031334
1.093440E-3,986.120522E-3,125.031334
1.109520E-3,986.797512E-3,125.117775
1.125600E-3,987.813115E-3,125.247459
1.141680E-3,988.151610E-3,125.290688
1.157760E-3,988.490164E-3,125.333916
1.173840E-3,987.474561E-3,125.204231
1.189920E-3,986.120522E-3,125.031334
1.206000E-3,986.120522E-3,125.031334
1.222080E-3,986.459076E-3,125.074562
1.238160E-3,990.182757E-3,125.550049
1.254240E-3,992.213964E-3,125.809418
1.270320E-3,990.182757E-3,125.550049
1.286400E-3,987.813115E-3,125.247459
1.302480E-3,988.490164E-3,125.333916
1.318560E-3,988.151610E-3,125.290688
1.334640E-3,988.151610E-3,125.290688
1.350720E-3,987.474561E-3,125.204231
1.366800E-3,987.474561E-3,125.204231
1.382880E-3,987.136006E-3,125.161003
1.398960E-3,988.828659E-3,125.377144
1.415040E-3,990.182757E-3,125.550049
1.431120E-3,989.505768E-3,125.463600
1.447200E-3,988.490164E-3,125.333916
1.463280E-3,989.167213E-3,125.420372
1.479360E-3,989.167213E-3,125.420372
1.495440E-3,988.490164E-3,125.333916
1.511520E-3,988.490164E-3,125.333916
1.527600E-3,989.844203E-3,125.506821
1.543680E-3,988.151610E-3,125.290688
1.559760E-3,988.828659E-3,125.377144
1.575840E-3,986.459076E-3,125.074562
1.591920E-3,986.797512E-3,125.117775
1.608000E-3,988.151610E-3,125.290688
1.624080E-3,987.474561E-3,125.204231
1.640160E-3,988.490164E-3,125.333916
1.656240E-3,987.136006E-3,125.161003
1.672320E-3,987.474561E-3,125.204231
1.688400E-3,987.136006E-3,125.161003
1.704480E-3,987.474561E-3,125.204231
1.720560E-3,987.474561E-3,125.204231
1.736640E-3,989.167213E-3,125.420372
1.752720E-3,990.182757E-3,125.550049
1.768800E-3,987.813115E-3,125.247459
1.784880E-3,988.828659E-3,125.377144
1.800960E-3,988.490164E-3,125.333916
1.817040E-3,987.136006E-3,125.161003
1.833120E-3,987.474561E-3,125.204231
1.849200E-3,986.797512E-3,125.117775
1.865280E-3,987.813115E-3,125.247459
1.881360E-3,988.828659E-3,125.377144
1.897440E-3,988.828659E-3,125.377144
1.913520E-3,987.474561E-3,125.204231
1.929600E-3,987.474561E-3,125.204231
1.945680E-3,988.490164E-3,125.333916
1.961760E-3,988.151610E-3,125.290688
1.977840E-3,989.844203E-3,125.506821
1.993920E-3,988.828659E-3,125.377144
2.010000E-3,988.151610E-3,125.290688
2.026080E-3,989.844203E-3,125.506821
2.042160E-3,988.490164E-3,125.333916
2.058240E-3,986.459076E-3,125.074562
2.074320E-3,989.167213E-3,125.420372
2.090400E-3,990.859807E-3,125.636505
2.106480E-3,989.505768E-3,125.463600
2.122560E-3,986.120522E-3,125.031334
2.138640E-3,985.443473E-3,124.944878
2.154720E-3,986.797512E-3,125.117775
2.170800E-3,989.167213E-3,125.420372
2.186880E-3,987.813115E-3,125.247459
2.202960E-3,988.151610E-3,125.290688
2.219040E-3,986.459076E-3,125.074562
2.235120E-3,986.459076E-3,125.074562
2.251200E-3,989.505768E-3,125.463600
2.267280E-3,988.151610E-3,125.290688
2.283360E-3,987.136006E-3,125.161003
2.299440E-3,987.813115E-3,125.247459
2.315520E-3,987.474561E-3,125.204231
2.331600E-3,987.136006E-3,125.161003
2.347680E-3,988.151610E-3,125.290688
2.363760E-3,988.490164E-3,125.333916
2.379840E-3,987.813115E-3,125.247459
2.395920E-3,988.151610E-3,125.290688
2.412000E-3,987.136006E-3,125.161003
2.428080E-3,985.443473E-3,124.944878
2.444160E-3,987.136006E-3,125.161003
2.460240E-3,987.474561E-3,125.204231
2.476320E-3,988.151610E-3,125.290688
2.492400E-3,990.182757E-3,125.550049
2.508480E-3,990.182757E-3,125.550049
2.524560E-3,986.120522E-3,125.031334
2.540640E-3,988.151610E-3,125.290688
2.556720E-3,988.828659E-3,125.377144
2.572800E-3,988.828659E-3,125.377144
2.588880E-3,986.459076E-3,125.074562
2.604960E-3,985.782027E-3,124.988106
2.621040E-3,988.151610E-3,125.290688
2.637120E-3,989.167213E-3,125.420372
2.653200E-3,988.828659E-3,125.377144
2.669280E-3,988.490164E-3,125.333916
2.685360E-3,986.120522E-3,125.031334
2.701440E-3,986.120522E-3,125.031334
2.717520E-3,988.151610E-3,125.290688
2.733600E-3,988.151610E-3,125.290688
2.749680E-3,987.813115E-3,125.247459
2.765760E-3,986.797512E-3,125.117775
2.781840E-3,988.490164E-3,125.333916
2.797920E-3,988.490164E-3,125.333916
2.814000E-3,984.766483E-3,124.858429
2.830080E-3,986.120522E-3,125.031334
2.846160E-3,987.474561E-3,125.204231
2.862240E-3,986.797512E-3,125.117775
2.878320E-3,987.474561E-3,125.204231
2.894400E-3,987.813115E-3,125.247459
2.910480E-3,988.828659E-3,125.377144
2.926560E-3,988.151610E-3,125.290688
2.942640E-3,985.443473E-3,124.944878
2.958720E-3,987.474561E-3,125.204231
2.974800E-3,986.797512E-3,125.117775
2.990880E-3,989.505768E-3,125.463600
3.006960E-3,988.151610E-3,125.290688
3.023040E-3,987.474561E-3,125.204231
3.039120E-3,988.490164E-3,125.333916
3.055200E-3,987.813115E-3,125.247459
3.071280E-3,985.443473E-3,124.944878
3.087360E-3,987.474561E-3,125.204231
3.103440E-3,987.813115E-3,125.247459
3.119520E-3,988.151610E-3,125.290688
3.135600E-3,987.474561E-3,125.204231
3.151680E-3,988.828659E-3,125.377144
3.167760E-3,987.136006E-3,125.161003
3.183840E-3,985.104978E-3,124.901649
3.199920E-3,986.120522E-3,125.031334
3.216000E-3,988.490164E-3,125.333916
3.232080E-3,988.490164E-3,125.333916
3.248160E-3,988.828659E-3,125.377144
3.264240E-3,986.797512E-3,125.117775
3.280320E-3,985.443473E-3,124.944878
3.296400E-3,986.797512E-3,125.117775
3.312480E-3,986.459076E-3,125.074562
3.328560E-3,985.443473E-3,124.944878
3.344640E-3,986.459076E-3,125.074562
3.360720E-3,986.120522E-3,125.031334
3.376800E-3,986.797512E-3,125.117775
3.392880E-3,986.459076E-3,125.074562
3.408960E-3,986.797512E-3,125.117775
3.425040E-3,985.782027E-3,124.988106
3.441120E-3,989.167213E-3,125.420372
3.457200E-3,987.474561E-3,125.204231
3.473280E-3,987.813115E-3,125.247459
3.489360E-3,989.505768E-3,125.463600
3.505440E-3,989.844203E-3,125.506821
3.521520E-3,989.167213E-3,125.420372
3.537600E-3,988.828659E-3,125.377144
3.553680E-3,987.136006E-3,125.161003
3.569760E-3,987.813115E-3,125.247459
3.585840E-3,986.120522E-3,125.031334
3.601920E-3,987.136006E-3,125.161003
3.618000E-3,988.490164E-3,125.333916
3.634080E-3,988.828659E-3,125.377144
3.650160E-3,987.813115E-3,125.247459
3.666240E-3,986.459076E-3,125.074562
3.682320E-3,984.427929E-3,124.815201
3.698400E-3,984.089434E-3,124.771973
3.714480E-3,986.797512E-3,125.117775
3.730560E-3,987.813115E-3,125.247459
3.746640E-3,987.813115E-3,125.247459
3.762720E-3,988.151610E-3,125.290688
3.778800E-3,988.151610E-3,125.290688
3.794880E-3,986.797512E-3,125.117775
3.810960E-3,987.136006E-3,125.161003
3.827040E-3,987.474561E-3,125.204231
3.843120E-3,986.459076E-3,125.074562
3.859200E-3,986.797512E-3,125.117775
3.875280E-3,987.136006E-3,125.161003
3.891360E-3,985.443473E-3,124.944878
3.907440E-3,985.782027E-3,124.988106
3.923520E-3,986.459076E-3,125.074562
3.939600E-3,984.766483E-3,124.858429
3.955680E-3,986.459076E-3,125.074562
3.971760E-3,987.474561E-3,125.204231
3.987840E-3,987.813115E-3,125.247459
4.003920E-3,987.813115E-3,125.247459
4.020000E-3,987.474561E-3,125.204231
4.036080E-3,987.474561E-3,125.204231
4.052160E-3,986.120522E-3,125.031334
4.068240E-3,985.104978E-3,124.901649
4.084320E-3,985.104978E-3,124.901649
4.100400E-3,986.797512E-3,125.117775
4.116480E-3,987.813115E-3,125.247459
4.132560E-3,986.120522E-3,125.031334
4.148640E-3,987.813115E-3,125.247459
4.164720E-3,990.521312E-3,125.593277
4.180800E-3,990.859807E-3,125.636505
4.196880E-3,986.797512E-3,125.117775
4.212960E-3,984.089434E-3,124.771973
4.229040E-3,985.443473E-3,124.944878
4.245120E-3,985.443473E-3,124.944878
4.261200E-3,986.459076E-3,125.074562
4.277280E-3,988.490164E-3,125.333916
4.293360E-3,987.474561E-3,125.204231
