Start,FFFFFF,
End,B6B6B6,
,,
x,y,Luminance
0.000000E+0,978.629947E-3,124.989899
16.080001E-6,976.744294E-3,124.860214
32.160002E-6,978.001416E-3,124.946671
48.240003E-6,978.629947E-3,124.989899
64.320004E-6,976.744294E-3,124.860214
80.400001E-6,977.372825E-3,124.903442
96.480006E-6,973.601699E-3,124.644081
112.560010E-6,976.115763E-3,124.816986
128.640007E-6,978.001416E-3,124.946671
144.720005E-6,976.744294E-3,124.860214
160.800002E-6,980.515420E-3,125.119576
176.880014E-6,978.001416E-3,124.946671
192.960011E-6,978.001416E-3,124.946671
209.040008E-6,976.115763E-3,124.816986
225.120020E-6,978.629947E-3,124.989899
241.200018E-6,974.230111E-3,124.687302
257.280015E-6,975.487232E-3,124.773758
273.360027E-6,974.230111E-3,124.687302
289.440010E-6,978.629947E-3,124.989899
305.520021E-6,978.629947E-3,124.989899
321.600004E-6,975.487232E-3,124.773758
337.680016E-6,974.230111E-3,124.687302
353.760028E-6,974.858701E-3,124.730530
369.840011E-6,978.629947E-3,124.989899
385.920022E-6,979.258478E-3,125.033127
402.000034E-6,973.601699E-3,124.644081
418.080017E-6,975.487232E-3,124.773758
434.160029E-6,977.372825E-3,124.903442
450.240041E-6,976.744294E-3,124.860214
466.320023E-6,980.515420E-3,125.119576
482.400035E-6,977.372825E-3,124.903442
498.480047E-6,974.858701E-3,124.730530
514.560030E-6,974.858701E-3,124.730530
530.640013E-6,975.487232E-3,124.773758
546.720054E-6,974.858701E-3,124.730530
562.800036E-6,976.115763E-3,124.816986
578.880019E-6,977.372825E-3,124.903442
594.960060E-6,974.230111E-3,124.687302
611.040043E-6,974.230111E-3,124.687302
627.120025E-6,974.230111E-3,124.687302
643.200008E-6,978.001416E-3,124.946671
659.280049E-6,984.286666E-3,125.378944
675.360032E-6,976.115763E-3,124.816986
691.440015E-6,976.115763E-3,124.816986
707.520056E-6,976.115763E-3,124.816986
723.600038E-6,975.487232E-3,124.773758
739.680021E-6,972.973168E-3,124.600853
755.760062E-6,975.487232E-3,124.773758
771.840045E-6,976.744294E-3,124.860214
787.920028E-6,975.487232E-3,124.773758
804.000068E-6,976.115763E-3,124.816986
820.080051E-6,974.230111E-3,124.687302
836.160034E-6,978.001416E-3,124.946671
852.240075E-6,976.744294E-3,124.860214
868.320058E-6,975.487232E-3,124.773758
884.400040E-6,974.858701E-3,124.730530
900.480081E-6,975.487232E-3,124.773758
916.560064E-6,977.372825E-3,124.903442
932.640047E-6,978.001416E-3,124.946671
948.720030E-6,973.601699E-3,124.644081
964.800071E-6,974.230111E-3,124.687302
980.880111E-6,975.487232E-3,124.773758
996.960094E-6,971.087456E-3,124.471161
1.013040E-3,973.601699E-3,124.644081
1.029120E-3,975.487232E-3,124.773758
1.045200E-3,978.629947E-3,124.989899
1.061280E-3,978.629947E-3,124.989899
1.077360E-3,974.230111E-3,124.687302
1.093440E-3,974.230111E-3,124.687302
1.109520E-3,972.973168E-3,124.600853
1.125600E-3,979.258478E-3,125.033127
1.141680E-3,978.629947E-3,124.989899
1.157760E-3,974.858701E-3,124.730530
1.173840E-3,974.230111E-3,124.687302
1.189920E-3,978.001416E-3,124.946671
1.206000E-3,978.001416E-3,124.946671
1.222080E-3,974.230111E-3,124.687302
1.238160E-3,976.115763E-3,124.816986
1.254240E-3,976.115763E-3,124.816986
1.270320E-3,975.487232E-3,124.773758
1.286400E-3,975.487232E-3,124.773758
1.302480E-3,974.858701E-3,124.730530
1.318560E-3,976.115763E-3,124.816986
1.334640E-3,978.001416E-3,124.946671
1.350720E-3,976.744294E-3,124.860214
1.366800E-3,976.744294E-3,124.860214
1.382880E-3,974.858701E-3,124.730530
1.398960E-3,971.087456E-3,124.471161
1.415040E-3,977.372825E-3,124.903442
1.431120E-3,977.372825E-3,124.903442
1.447200E-3,977.372825E-3,124.903442
1.463280E-3,977.372825E-3,124.903442
1.479360E-3,976.744294E-3,124.860214
1.495440E-3,976.115763E-3,124.816986
1.511520E-3,976.115763E-3,124.816986
1.527600E-3,978.001416E-3,124.946671
1.543680E-3,974.858701E-3,124.730530
1.559760E-3,973.601699E-3,124.644081
1.575840E-3,971.715987E-3,124.514389
1.591920E-3,974.230111E-3,124.687302
1.608000E-3,978.001416E-3,124.946671
1.624080E-3,979.886889E-3,125.076347
1.640160E-3,976.115763E-3,124.816986
1.656240E-3,976.115763E-3,124.816986
1.672320E-3,978.001416E-3,124.946671
1.688400E-3,977.372825E-3,124.903442
1.704480E-3,977.372825E-3,124.903442
1.720560E-3,970.458865E-3,124.427933
1.736640E-3,972.973168E-3,124.600853
1.752720E-3,976.115763E-3,124.816986
1.768800E-3,979.258478E-3,125.033127
1.784880E-3,973.601699E-3,124.644081
1.800960E-3,974.230111E-3,124.687302
1.817040E-3,972.973168E-3,124.600853
1.833120E-3,979.886889E-3,125.076347
1.849200E-3,976.744294E-3,124.860214
1.865280E-3,971.087456E-3,124.471161
1.881360E-3,972.973168E-3,124.600853
1.897440E-3,972.973168E-3,124.600853
1.913520E-3,972.973168E-3,124.600853
1.929600E-3,976.115763E-3,124.816986
1.945680E-3,976.115763E-3,124.816986
1.961760E-3,975.487232E-3,124.773758
1.977840E-3,972.973168E-3,124.600853
1.993920E-3,974.230111E-3,124.687302
2.010000E-3,977.372825E-3,124.903442
2.026080E-3,976.115763E-3,124.816986
2.042160E-3,977.372825E-3,124.903442
2.058240E-3,979.886889E-3,125.076347
2.074320E-3,970.458865E-3,124.427933
2.090400E-3,971.715987E-3,124.514389
2.106480E-3,979.258478E-3,125.033127
2.122560E-3,974.230111E-3,124.687302
2.138640E-3,976.115763E-3,124.816986
2.154720E-3,979.886889E-3,125.076347
2.170800E-3,974.858701E-3,124.730530
2.186880E-3,974.858701E-3,124.730530
2.202960E-3,972.344637E-3,124.557625
2.219040E-3,978.629947E-3,124.989899
2.235120E-3,978.001416E-3,124.946671
2.251200E-3,971.087456E-3,124.471161
2.267280E-3,976.115763E-3,124.816986
2.283360E-3,978.629947E-3,124.989899
2.299440E-3,974.230111E-3,124.687302
2.315520E-3,972.973168E-3,124.600853
2.331600E-3,979.258478E-3,125.033127
2.347680E-3,977.372825E-3,124.903442
2.363760E-3,972.973168E-3,124.600853
2.379840E-3,977.372825E-3,124.903442
2.395920E-3,978.629947E-3,124.989899
2.412000E-3,972.973168E-3,124.600853
2.428080E-3,976.115763E-3,124.816986
2.444160E-3,979.258478E-3,125.033127
2.460240E-3,976.115763E-3,124.816986
2.476320E-3,975.487232E-3,124.773758
2.492400E-3,972.344637E-3,124.557625
2.508480E-3,976.115763E-3,124.816986
2.524560E-3,979.258478E-3,125.033127
2.540640E-3,974.858701E-3,124.730530
2.556720E-3,972.973168E-3,124.600853
2.572800E-3,976.115763E-3,124.816986
2.588880E-3,979.258478E-3,125.033127
2.604960E-3,974.858701E-3,124.730530
2.621040E-3,971.087456E-3,124.471161
