Start,FFFFFF,
End,DBDBDB,
,,
x,y,Luminance
0.000000E+0,950.602412E-3,124.816986
16.080001E-6,950.602412E-3,124.816986
32.160002E-6,951.807201E-3,124.860214
48.240003E-6,951.807201E-3,124.860214
64.320004E-6,948.192716E-3,124.730530
80.400001E-6,944.578469E-3,124.600853
96.480006E-6,949.397564E-3,124.773758
112.560010E-6,955.421686E-3,124.989899
128.640007E-6,957.831144E-3,125.076347
144.720005E-6,954.216897E-3,124.946671
160.800002E-6,953.012049E-3,124.903442
176.880014E-6,944.578469E-3,124.600853
192.960011E-6,953.012049E-3,124.903442
209.040008E-6,957.831144E-3,125.076347
225.120020E-6,951.807201E-3,124.860214
241.200018E-6,944.578469E-3,124.600853
257.280015E-6,951.807201E-3,124.860214
273.360027E-6,953.012049E-3,124.903442
289.440010E-6,951.807201E-3,124.860214
305.520021E-6,948.192716E-3,124.730530
321.600004E-6,948.192716E-3,124.730530
337.680016E-6,951.807201E-3,124.860214
353.760028E-6,950.602412E-3,124.816986
369.840011E-6,944.578469E-3,124.600853
385.920022E-6,944.578469E-3,124.600853
402.000034E-6,953.012049E-3,124.903442
418.080017E-6,953.012049E-3,124.903442
434.160029E-6,948.192716E-3,124.730530
450.240041E-6,946.987867E-3,124.687302
466.320023E-6,950.602412E-3,124.816986
482.400035E-6,953.012049E-3,124.903442
498.480047E-6,954.216897E-3,124.946671
514.560030E-6,954.216897E-3,124.946671
530.640013E-6,949.397564E-3,124.773758
546.720054E-6,950.602412E-3,124.816986
562.800036E-6,942.168593E-3,124.514389
578.880019E-6,954.216897E-3,124.946671
594.960060E-6,953.012049E-3,124.903442
611.040043E-6,946.987867E-3,124.687302
627.120025E-6,946.987867E-3,124.687302
643.200008E-6,943.373621E-3,124.557625
659.280049E-6,942.168593E-3,124.514389
675.360032E-6,950.602412E-3,124.816986
691.440015E-6,944.578469E-3,124.600853
707.520056E-6,957.831144E-3,125.076347
723.600038E-6,957.831144E-3,125.076347
739.680021E-6,957.831144E-3,125.076347
755.760062E-6,954.216897E-3,124.946671
771.840045E-6,951.807201E-3,124.860214
787.920028E-6,950.602412E-3,124.816986
804.000068E-6,948.192716E-3,124.730530
820.080051E-6,950.602412E-3,124.816986
836.160034E-6,953.012049E-3,124.903442
852.240075E-6,945.783257E-3,124.644081
868.320058E-6,950.602412E-3,124.816986
884.400040E-6,948.192716E-3,124.730530
900.480081E-6,944.578469E-3,124.600853
916.560064E-6,949.397564E-3,124.773758
932.640047E-6,949.397564E-3,124.773758
948.720030E-6,942.168593E-3,124.514389
964.800071E-6,936.144412E-3,124.298248
980.880111E-6,943.373621E-3,124.557625
996.960094E-6,948.192716E-3,124.730530
1.013040E-3,937.349260E-3,124.341476
1.029120E-3,945.783257E-3,124.644081
1.045200E-3,945.783257E-3,124.644081
1.061280E-3,945.783257E-3,124.644081
1.077360E-3,953.012049E-3,124.903442
1.093440E-3,950.602412E-3,124.816986
1.109520E-3,944.578469E-3,124.600853
1.125600E-3,950.602412E-3,124.816986
1.141680E-3,949.397564E-3,124.773758
1.157760E-3,951.807201E-3,124.860214
1.173840E-3,950.602412E-3,124.816986
